sample_ID	condition	sampling_time_point	sample_name_replicate
1186	Rif_000	000	Rif_000_000_1
1187	Rif_000	000	Rif_000_000_2
1188	Rif_000	000	Rif_000_000_3
1189	Rif_The	002	Rif_The_002_1
1190	Rif_The	002	Rif_The_002_2
1191	Rif_The	002	Rif_The_002_3
1192	Rif_The	008	Rif_The_008_1
1193	Rif_The	008	Rif_The_008_2
1194	Rif_The	008	Rif_The_008_3
1195	Rif_The	024	Rif_The_024_1
1196	Rif_The	024	Rif_The_024_2
1197	Rif_The	024	Rif_The_024_3
1198	Rif_The	072	Rif_The_072_1
1199	Rif_The	072	Rif_The_072_2
1200	Rif_The	072	Rif_The_072_3
1201	Rif_The	168	Rif_The_168_1
1202	Rif_The	168	Rif_The_168_2
1203	Rif_The	168	Rif_The_168_3
1204	Rif_The	240	Rif_The_240_1
1205	Rif_The	240	Rif_The_240_2
1206	Rif_The	240	Rif_The_240_3
1207	Rif_The	336	Rif_The_336_1
1208	Rif_The	336	Rif_The_336_2
1209	Rif_The	336	Rif_The_336_3
1210	Rif_Tox	002	Rif_Tox_002_1
1211	Rif_Tox	002	Rif_Tox_002_2
1212	Rif_Tox	002	Rif_Tox_002_3
1213	Rif_Tox	008	Rif_Tox_008_1
1214	Rif_Tox	008	Rif_Tox_008_2
1215	Rif_Tox	008	Rif_Tox_008_3
1216	Rif_Tox	024	Rif_Tox_024_1
1217	Rif_Tox	024	Rif_Tox_024_2
1218	Rif_Tox	024	Rif_Tox_024_3
1219	Rif_Tox	072	Rif_Tox_072_1
1220	Rif_Tox	072	Rif_Tox_072_2
1221	Rif_Tox	072	Rif_Tox_072_3
1222	Rif_Tox	168	Rif_Tox_168_1
1223	Rif_Tox	168	Rif_Tox_168_2
1224	Rif_Tox	168	Rif_Tox_168_3
1225	Rif_Tox	240	Rif_Tox_240_1
1226	Rif_Tox	240	Rif_Tox_240_2
1227	Rif_Tox	240	Rif_Tox_240_3
421	ConUNTR	000	ConUNTR_000_1
422	ConUNTR	000	ConUNTR_000_2
423	ConUNTR	000	ConUNTR_000_3
424	ConUNTR	002	ConUNTR_002_1
425	ConUNTR	002	ConUNTR_002_2
426	ConUNTR	002	ConUNTR_002_3
427	ConUNTR	008	ConUNTR_008_1
428	ConUNTR	008	ConUNTR_008_2
429	ConUNTR	008	ConUNTR_008_3
430	ConUNTR	024	ConUNTR_024_1
431	ConUNTR	024	ConUNTR_024_2
432	ConUNTR	024	ConUNTR_024_3
433	ConUNTR	072	ConUNTR_072_1
434	ConUNTR	072	ConUNTR_072_2
435	ConUNTR	072	ConUNTR_072_3
436	ConUNTR	168	ConUNTR_168_1
437	ConUNTR	168	ConUNTR_168_2
438	ConUNTR	168	ConUNTR_168_3
439	ConUNTR	240	ConUNTR_240_1
440	ConUNTR	240	ConUNTR_240_2
441	ConUNTR	240	ConUNTR_240_3
442	ConUNTR	336	ConUNTR_336_1
443	ConUNTR	336	ConUNTR_336_2
444	ConUNTR	336	ConUNTR_336_3
445	ConDMSO	002	ConDMSO_002_1
446	ConDMSO	002	ConDMSO_002_2
447	ConDMSO	002	ConDMSO_002_3
448	ConDMSO	008	ConDMSO_008_1
449	ConDMSO	008	ConDMSO_008_2
450	ConDMSO	008	ConDMSO_008_3
451	ConDMSO	024	ConDMSO_024_1
452	ConDMSO	024	ConDMSO_024_2
453	ConDMSO	024	ConDMSO_024_3
454	ConDMSO	072	ConDMSO_072_1
455	ConDMSO	072	ConDMSO_072_2
456	ConDMSO	072	ConDMSO_072_3
457	ConDMSO	168	ConDMSO_168_1
458	ConDMSO	168	ConDMSO_168_2
459	ConDMSO	168	ConDMSO_168_3
460	ConDMSO	240	ConDMSO_240_1
461	ConDMSO	240	ConDMSO_240_2
462	ConDMSO	240	ConDMSO_240_3
463	ConDMSO	336	ConDMSO_336_1
464	ConDMSO	336	ConDMSO_336_2
465	ConDMSO	336	ConDMSO_336_3
