Column	Fraction	Source Type	Time Point	Time	Maximum RT Shift	Enzyme	Treatment	Treatment & Time Point	ID	Treatment & Time Point & ID
20160419_12_445	20160419_12_445	Thermo	T2	2	0.01647701	Trypsin	01%DMSO	01%DMSO_T2	445	01%DMSO_T2_445
20160419_27_447	20160419_27_447	Thermo	T2	2	0.06466179	Trypsin	01%DMSO	01%DMSO_T2	447	01%DMSO_T2_447
20160419_31_446	20160419_31_446	Thermo	T2	2	0.282198	Trypsin	01%DMSO	01%DMSO_T2	446	01%DMSO_T2_446
20160419_08_449	20160419_08_449	Thermo	T8	8	0.48036167	Trypsin	01%DMSO	01%DMSO_T8	449	01%DMSO_T8_449
20160419_10_450	20160419_10_450	Thermo	T8	8	0.0965676	Trypsin	01%DMSO	01%DMSO_T8	450	01%DMSO_T8_450
20160419_13_448	20160419_13_448	Thermo	T8	8	0.027993197	Trypsin	01%DMSO	01%DMSO_T8	448	01%DMSO_T8_448
20160419_04_452	20160419_04_452	Thermo	T24	24	1.316385	Trypsin	01%DMSO	01%DMSO_T24	452	01%DMSO_T24_452
20160419_06_453	20160419_06_453	Thermo	T24	24	-0.002345691	Trypsin	01%DMSO	01%DMSO_T24	453	01%DMSO_T24_453
20160419_17_451	20160419_17_451	Thermo	T24	24	-0.007001167	Trypsin	01%DMSO	01%DMSO_T24	451	01%DMSO_T24_451
20160419_25_454	20160419_25_454	Thermo	T72	72	0.16786022	Trypsin	01%DMSO	01%DMSO_T72	454	01%DMSO_T72_454
20160419_26_455	20160419_26_455	Thermo	T72	72	0.04990838	Trypsin	01%DMSO	01%DMSO_T72	455	01%DMSO_T72_455
20160419_30_456	20160419_30_456	Thermo	T72	72	0.5161254	Trypsin	01%DMSO	01%DMSO_T72	456	01%DMSO_T72_456
20160419_09_457	20160419_09_457	Thermo	T168	168	0.07125953	Trypsin	01%DMSO	01%DMSO_T168	457	01%DMSO_T168_457
20160419_14_458	20160419_14_458	Thermo	T168	168	0.062351372	Trypsin	01%DMSO	01%DMSO_T168	458	01%DMSO_T168_458
20160419_16_459	20160419_16_459	Thermo	T168	168	0.022330727	Trypsin	01%DMSO	01%DMSO_T168	459	01%DMSO_T168_459
20160419_05_460	20160419_05_460	Thermo	T240	240	0.13709429	Trypsin	01%DMSO	01%DMSO_T240	460	01%DMSO_T240_460
20160419_18_462	20160419_18_462	Thermo	T240	240	0.025889913	Trypsin	01%DMSO	01%DMSO_T240	462	01%DMSO_T240_462
20160419_20_461	20160419_20_461	Thermo	T240	240	0.35479695	Trypsin	01%DMSO	01%DMSO_T240	461	01%DMSO_T240_461
20160419_21_464	20160419_21_464	Thermo	T336	336	-0.010141343	Trypsin	01%DMSO	01%DMSO_T336	464	01%DMSO_T336_464
20160419_22_463	20160419_22_463	Thermo	T336	336	0.066364	Trypsin	01%DMSO	01%DMSO_T336	463	01%DMSO_T336_463
20160419_29_465	20160419_29_465	Thermo	T336	336	0.43558854	Trypsin	01%DMSO	01%DMSO_T336	465	01%DMSO_T336_465
