Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|A0MZ66|SHOT1_HUMAN	NaN	NaN	NaN	10.985278	10.736352	8.049532	10.650911	10.763902	11.27025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.753025	10.759676	10.982841
sp|A6ND91|ASPD_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.274837	10.336308	10.564345	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NEC2|PSAL_HUMAN : sp|P55786|PSA_HUMAN	10.577253	11.313219	8.651244	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NGU5|GGT3_HUMAN : sp|P19440|GGT1_HUMAN : sp|P36268|GGT2_HUMAN	13.192919	12.541684	12.56201	NaN	NaN	NaN	11.988535	12.967526	13.281556	12.468905	12.577591	11.186699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NIZ1|RP1BL_HUMAN : sp|P61224|RAP1B_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	11.990541	12.05787	13.168731	NaN	NaN	NaN	12.241338	12.083053	12.107565	NaN	NaN	NaN	NaN	NaN	NaN
sp|A8MUH7|PDZ1P_HUMAN : sp|Q5T2W1|NHRF3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	9.07513	10.626694	10.990966	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|B2RPK0|HGB1A_HUMAN : sp|P09429|HMGB1_HUMAN	13.024582	13.011039	12.531779	13.020134	12.893024	13.324923	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|B5ME19|EIFCL_HUMAN : sp|Q99613|EIF3C_HUMAN	10.393629	11.369789	9.373688	NaN	NaN	NaN	7.5268235	10.665646	11.097297	12.259511	11.542776	9.889804	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|E9PAV3|NACAM_HUMAN : sp|Q13765|NACA_HUMAN	12.998225	13.501172	12.463107	9.789819	11.001062	13.862427	NaN	NaN	NaN	12.799469	12.395904	11.654333	11.996262	12.00602	12.467235	10.974584	13.648601	11.187819	NaN	NaN	NaN
sp|O00116|ADAS_HUMAN	NaN	NaN	NaN	11.4247265	10.899377	11.0030365	10.399746	11.028758	11.6656065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00148|DX39A_HUMAN : sp|Q13838|DX39B_HUMAN	12.62967	12.986865	12.372403	NaN	NaN	NaN	10.912708	11.924407	12.245777	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00151|PDLI1_HUMAN	14.192652	13.903935	13.527827	14.695695	14.335573	15.073828	12.05285	12.638278	13.639297	14.102709	13.617799	13.274226	14.717909	14.70792	14.813623	14.863842	15.368373	14.316066	14.345449	14.173665	14.10658
sp|O00217|NDUS8_HUMAN	11.870785	11.203611	10.947709	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.693304	11.639991	11.2571745	NaN	NaN	NaN
sp|O00231|PSD11_HUMAN	13.2286625	13.106657	12.545671	13.4431095	12.950422	13.288999	6.282532	10.220304	10.572985	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00232|PSD12_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.646984	12.196101	11.855638	NaN	NaN	NaN	11.559258	12.32776	11.967186	NaN	NaN	NaN
sp|O00233|PSMD9_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	11.797737	11.897102	12.085642	11.740994	12.097603	11.196264	NaN	NaN	NaN	11.63557	11.8620205	11.3084	11.270681	11.202225	11.359022
sp|O00264|PGRC1_HUMAN	14.923507	14.165853	14.563965	14.318567	14.11781	14.749957	14.444412	15.103862	15.579957	13.624563	13.714787	12.825617	13.422137	13.209229	13.603186	14.248063	14.9956875	13.961496	13.603536	13.496035	13.832682
sp|O00299|CLIC1_HUMAN	14.848942	15.049177	13.953139	13.5394335	13.930139	14.827597	16.811436	16.437723	17.019665	13.8580885	14.170848	13.619938	16.157223	16.204584	16.30579	16.07599	16.537237	15.843755	14.882097	14.680826	14.618419
sp|O00330|ODPX_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.106778	9.601217	10.189076
sp|O00469|PLOD2_HUMAN	13.689583	12.960592	13.376523	14.799339	14.511398	15.468247	10.1358385	12.890578	13.717119	12.6888685	12.14875	9.948031	9.9334955	9.721055	9.827914	11.007537	12.828126	10.59467	NaN	NaN	NaN
sp|O00515|LAD1_HUMAN	11.548167	11.767475	11.157841	11.467708	11.569175	11.754771	10.406607	11.733149	12.035648	11.231976	10.9470005	10.623696	10.490768	10.379917	10.698349	9.698141	11.980788	9.933858	NaN	NaN	NaN
sp|O00571|DDX3X_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	11.3621435	12.443242	12.940765	NaN	NaN	NaN	NaN	NaN	NaN	10.499941	12.697999	10.68463	NaN	NaN	NaN
sp|O00748|EST2_HUMAN	15.227952	14.525767	14.819239	14.412323	14.2908125	14.968814	14.511202	13.8146715	14.716825	15.298429	14.756856	13.625789	14.693678	14.822987	14.688175	15.243564	14.826504	15.1091	15.542847	15.288346	15.674114
sp|O00764|PDXK_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.223712	9.957898	10.5671015	9.708602	9.410644	9.655294	NaN	NaN	NaN
