Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|A0MZ66|SHOT1_HUMAN	NaN	NaN	NaN	10.919455	10.715591	7.4673257	10.969127	10.7486	10.858799	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.931723	11.187387	11.140739
sp|A6ND91|ASPD_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.372939	10.353871	10.464223	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NEC2|PSAL_HUMAN : sp|P55786|PSA_HUMAN	10.242203	11.098857	8.729642	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NGU5|GGT3_HUMAN : sp|P19440|GGT1_HUMAN : sp|P36268|GGT2_HUMAN	12.857868	12.327322	12.640408	NaN	NaN	NaN	12.30675	12.952225	12.870105	12.341451	12.707275	11.720568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NIZ1|RP1BL_HUMAN : sp|P61224|RAP1B_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	12.308757	12.042568	12.757279	NaN	NaN	NaN	12.33944	12.100616	12.007442	NaN	NaN	NaN	NaN	NaN	NaN
sp|A8MUH7|PDZ1P_HUMAN : sp|Q5T2W1|NHRF3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	9.393346	10.611392	10.5795145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|B2RPK0|HGB1A_HUMAN : sp|P09429|HMGB1_HUMAN	12.689531	12.796677	12.610177	12.95431	12.872264	12.742717	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|B5ME19|EIFCL_HUMAN : sp|Q99613|EIF3C_HUMAN	10.0585785	11.155427	9.4520855	NaN	NaN	NaN	7.845039	10.650344	10.685845	12.132056	11.672461	10.423673	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|E9PAV3|NACAM_HUMAN : sp|Q13765|NACA_HUMAN	12.663175	13.28681	12.541505	9.723995	10.980302	13.280221	NaN	NaN	NaN	12.672014	12.525588	12.188202	12.094364	12.023583	12.367112	10.974584	13.358141	11.398406	NaN	NaN	NaN
sp|O00116|ADAS_HUMAN	NaN	NaN	NaN	11.358903	10.878616	10.420831	10.717961	11.013456	11.254155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00148|DX39A_HUMAN : sp|Q13838|DX39B_HUMAN	12.29462	12.772503	12.450801	NaN	NaN	NaN	11.230924	11.909105	11.834326	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00151|PDLI1_HUMAN	13.857601	13.689573	13.606225	14.629871	14.314813	14.491622	12.371065	12.622976	13.227845	13.975254	13.747483	13.808095	14.816011	14.725484	14.713501	14.863842	15.077913	14.526653	14.524147	14.601377	14.264479
sp|O00217|NDUS8_HUMAN	11.535734	10.989249	11.026107	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.693304	11.349531	11.467762	NaN	NaN	NaN
sp|O00231|PSD11_HUMAN	12.893612	12.892295	12.624069	13.377286	12.929662	12.706793	6.6007476	10.205002	10.161533	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00232|PSD12_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.519529	12.325786	12.389506	NaN	NaN	NaN	11.559258	12.0373	12.177773	NaN	NaN	NaN
sp|O00233|PSMD9_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	12.1159525	11.881801	11.6741905	11.61354	12.227287	11.730133	NaN	NaN	NaN	11.63557	11.571561	11.518988	11.449379	11.629936	11.516921
sp|O00264|PGRC1_HUMAN	14.588456	13.95149	14.642363	14.252744	14.09705	14.167751	14.762628	15.08856	15.168506	13.497108	13.844471	13.359486	13.52024	13.226793	13.503063	14.248063	14.705228	14.172084	13.782233	13.923746	13.990581
sp|O00299|CLIC1_HUMAN	14.513891	14.834815	14.031537	13.47361	13.909378	14.245391	17.12965	16.422422	16.608213	13.730634	14.300532	14.153807	16.255325	16.222147	16.205667	16.07599	16.246777	16.054342	15.060795	15.108538	14.776318
sp|O00330|ODPX_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.285476	10.028929	10.346975
sp|O00469|PLOD2_HUMAN	13.354532	12.74623	13.454921	14.733516	14.490638	14.886042	10.454054	12.875277	13.305668	12.561414	12.278435	10.4819	10.031598	9.738619	9.727792	11.007537	12.537666	10.805258	NaN	NaN	NaN
sp|O00515|LAD1_HUMAN	11.213117	11.553113	11.2362385	11.401884	11.548414	11.172565	10.724822	11.717847	11.624197	11.104521	11.076685	11.157565	10.588871	10.397481	10.598227	9.698141	11.690329	10.144445	NaN	NaN	NaN
sp|O00571|DDX3X_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	11.680359	12.42794	12.529314	NaN	NaN	NaN	NaN	NaN	NaN	10.499941	12.407539	10.895218	NaN	NaN	NaN
sp|O00748|EST2_HUMAN	14.892901	14.311405	14.897636	14.346499	14.270052	14.386608	14.829417	13.79937	14.305373	15.170974	14.88654	14.1596575	14.79178	14.84055	14.588053	15.243564	14.536044	15.319688	15.721544	15.716058	15.832013
sp|O00764|PDXK_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.321815	9.975462	10.466979	9.708602	9.120184	9.865882	NaN	NaN	NaN
sp|O14556|G3PT_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	0.63491094	10.035482	10.006596	NaN	NaN	NaN	11.447411	11.051866	10.512106	12.694952	10.342022	12.305703	10.604354	10.808806	10.648915
sp|O14579|COPE_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.027182	11.445591	11.722649	11.594558	11.762541	12.0035925	NaN	NaN	NaN	NaN	NaN	NaN
sp|O14737|PDCD5_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	10.939749	11.206419	11.135184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O14745|NHRF1_HUMAN	15.218169	15.285728	15.337708	15.240466	15.354179	14.941941	14.892894	15.710988	15.20104	15.491932	15.391629	15.648796	15.219125	15.3053255	15.305858	12.609822	13.787287	12.620878	14.478366	14.8160095	14.981162
sp|O14773|TPP1_HUMAN	13.189069	13.306344	13.203836	12.2228155	12.278269	11.82955	13.777523	13.472182	13.251916	13.782197	13.452985	13.545445	14.298605	14.193195	13.96313	14.232553	12.81906	14.509764	14.399595	14.47346	14.618351
sp|O14818|PSA7_HUMAN	13.992859	14.250628	13.816309	13.2603	13.724205	13.607832	13.163825	13.442345	12.630443	13.361005	13.473048	13.402519	13.981355	14.089278	13.980122	13.180071	13.464443	12.851162	13.977645	13.907944	13.693994
sp|O14832|PAHX_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	11.775215	-2.929955	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.559222	10.618769	11.684537	11.972502	12.018312	11.743113
sp|O14950|ML12B_HUMAN : sp|P19105|ML12A_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.407899	14.6783	14.540692	NaN	NaN	NaN	NaN	NaN	NaN
sp|O14975|S27A2_HUMAN	NaN	NaN	NaN	11.324089	10.963279	9.700636	7.538376	10.519696	10.519598	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.4426985	8.3336115	9.274263
sp|O14979|HNRDL_HUMAN	12.279355	11.501188	12.019174	12.321819	12.528235	12.566937	NaN	NaN	NaN	NaN	NaN	NaN	11.391339	11.398326	11.501568	NaN	NaN	NaN	9.727287	10.185912	10.075734
sp|O15031|PLXB2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.185717	10.741546	10.408561
sp|O15143|ARC1B_HUMAN	12.828117	12.471805	12.272271	9.018231	10.164138	10.265453	11.259871	12.028361	11.897466	10.999872	11.351632	11.230381	11.607391	11.516609	11.317065	10.813147	11.3509655	11.004332	11.557997	11.785148	10.464977
sp|O15145|ARPC3_HUMAN	12.501019	12.899764	12.660249	NaN	NaN	NaN	12.163103	12.506084	11.871969	11.760692	11.787919	11.173924	12.665874	12.458243	12.366024	NaN	NaN	NaN	11.791914	12.129145	12.228726
sp|O15173|PGRC2_HUMAN	NaN	NaN	NaN	13.095761	12.882494	11.9060755	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.806674	10.388402	10.558783	13.013363	12.846322	13.157634
sp|O15371|EIF3D_HUMAN	NaN	NaN	NaN	11.963094	11.72416	11.744322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O43175|SERA_HUMAN	13.0968895	13.827456	12.9875765	NaN	NaN	NaN	13.227696	13.401626	13.439521	12.905855	12.929124	12.6278	13.126237	13.3248005	13.084112	13.354206	12.613763	13.344124	13.083805	13.243554	13.366989
sp|O43242|PSMD3_HUMAN	11.628486	11.33573	10.174043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O43390|HNRPR_HUMAN	11.745065	11.670819	11.334606	10.75721	10.914495	10.547716	10.474496	11.108783	10.353905	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O43390|HNRPR_HUMAN : sp|O60506|HNRPQ_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.722633	10.862551	10.530931	NaN	NaN	NaN	NaN	NaN	NaN
sp|O43396|TXNL1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	11.646387	12.803086	12.273282	12.569721	12.354724	12.935196	12.361755	11.782284	12.107104	NaN	NaN	NaN	NaN	NaN	NaN
sp|O43399|TPD54_HUMAN	NaN	NaN	NaN	12.545073	12.508698	12.597537	9.906723	11.280283	11.536117	11.21998	11.963143	12.009306	12.011205	11.851957	11.885023	11.301144	12.329755	11.593519	11.217796	11.259607	10.972742
sp|O43488|ARK72_HUMAN	12.952132	12.565142	11.872843	11.665598	12.153256	11.933286	-1.5863271	8.7318125	9.325245	NaN	NaN	NaN	12.876342	12.5969925	12.537469	10.269452	9.5531225	10.174718	12.688844	12.552985	12.853889
sp|O43598|DNPH1_HUMAN	NaN	NaN	NaN	11.42684	11.656513	10.833793	NaN	NaN	NaN	12.050216	12.140861	10.623186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O43615|TIM44_HUMAN	NaN	NaN	NaN	8.85295	9.651587	9.553946	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O43681|ASNA_HUMAN	9.847648	9.644122	9.480302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
