Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|A0MZ66|SHOT1_HUMAN	NaN	NaN	NaN	2027.2073	1705.9407	264.9418	1607.8431	1738.8307	2469.9233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1725.7704	1733.7449	2023.7847
sp|A6ND91|ASPD_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1238.8932	1292.8217	1514.2058	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NEC2|PSAL_HUMAN : sp|P55786|PSA_HUMAN	1527.814	2544.5935	402.05374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NGU5|GGT3_HUMAN : sp|P19440|GGT1_HUMAN : sp|P36268|GGT2_HUMAN	9364.063	5962.4272	6047.0264	NaN	NaN	NaN	4063.5784	8009.664	9957.42	5669.1055	6112.6885	2330.9448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NIZ1|RP1BL_HUMAN : sp|P61224|RAP1B_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	4069.234	4263.6396	9208.376	NaN	NaN	NaN	4841.8325	4338.716	4413.065	NaN	NaN	NaN	NaN	NaN	NaN
sp|A8MUH7|PDZ1P_HUMAN : sp|Q5T2W1|NHRF3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	539.3695	1581.079	2035.2156	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|B2RPK0|HGB1A_HUMAN : sp|P09429|HMGB1_HUMAN	8332.777	8254.92	5921.6343	8307.129	7606.5396	10261.275	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|B5ME19|EIFCL_HUMAN : sp|Q99613|EIF3C_HUMAN	1345.2229	2646.3525	663.3783	NaN	NaN	NaN	184.41647	1624.3484	2190.8826	4903.209	2983.4707	948.6972	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|E9PAV3|NACAM_HUMAN : sp|Q13765|NACA_HUMAN	8181.9277	11594.653	5646.367	885.1749	2049.508	14893.829	NaN	NaN	NaN	7128.925	5389.379	3223.3228	4085.4	4113.126	5662.5454	2012.2351	12842.16	2332.7544	NaN	NaN	NaN
sp|O00116|ADAS_HUMAN	NaN	NaN	NaN	2749.067	1910.0265	2052.3145	1350.9384	2089.2332	3248.6084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00148|DX39A_HUMAN : sp|Q13838|DX39B_HUMAN	6337.376	8117.753	5302.3037	NaN	NaN	NaN	1927.758	3886.9082	4856.755	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00151|PDLI1_HUMAN	18724.658	15328.568	11810.87	26536.588	20674.617	34488.5	4248.83	6375.3027	12759.611	17592.941	12570.891	9906.957	26948.348	26762.396	28796.844	29816.883	42300.086	20396.951	20816.645	18479.846	17640.207
sp|O00217|NDUS8_HUMAN	3745.09	2358.4312	1975.0986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3311.58	3191.4368	2447.638	NaN	NaN	NaN
sp|O00231|PSD11_HUMAN	9598.962	8820.573	5978.9287	11137.285	7915.2686	10008.922	77.84498	1192.9381	1523.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00232|PSD12_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6413.8896	4692.371	3705.9756	NaN	NaN	NaN	3017.7522	5140.7363	4003.888	NaN	NaN	NaN
sp|O00233|PSMD9_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	3560.186	3814.0347	4346.51	3422.8794	4382.6973	2346.4507	NaN	NaN	NaN	3181.6719	3722.409	2536.1077	2470.6616	2356.165	2626.6755
sp|O00264|PGRC1_HUMAN	31075.867	18380.04	24220.906	20432.342	17778.062	27553.672	22294.68	35213.996	48981.746	12629.965	13445.041	7259.309	10976.549	9470.533	12444.194	19457.822	32670.203	15952.52	12447.215	11553.439	14589.889
sp|O00299|CLIC1_HUMAN	29510.523	33904.21	15860.38	11906.269	15609.52	29077.11	115012.92	88766.19	132870.77	14849.107	18443.793	12589.543	73081.75	75520.65	81008.766	69080.51	95105.24	58809.223	30196.578	26264.494	25152.574
sp|O00330|ODPX_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1102.6642	776.702	1167.3945
sp|O00469|PLOD2_HUMAN	13212.195	7971.259	10634.928	28513.14	23354.26	45332.17	1125.1005	7593.6543	13466.794	6602.8306	4540.8623	987.76996	977.86755	843.9744	908.86017	2058.7268	7271.9453	1546.3707	NaN	NaN	NaN
sp|O00515|LAD1_HUMAN	2994.6416	3486.2852	2284.7817	2832.1997	3038.566	3455.7217	1357.3779	3404.3145	4198.4717	2405.2568	1974.1289	1577.7976	1438.9181	1332.4978	1661.5901	830.6753	4041.8164	978.1134	NaN	NaN	NaN
sp|O00571|DDX3X_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	2632.3643	5569.1514	7862.462	NaN	NaN	NaN	NaN	NaN	NaN	1448.0957	6644.749	1645.8655	NaN	NaN	NaN
sp|O00748|EST2_HUMAN	38376.94	23588.023	28909.148	21804.264	20043.03	32067.266	23351.086	14408.887	26928.104	40298.22	27685.758	12640.698	26499.5	28984.346	26398.621	38794.477	29055.094	35342.11	47737.883	40017.582	52285.18
sp|O00764|PDXK_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2391.52	994.54846	1517.101	836.7203	680.5905	806.368	NaN	NaN	NaN
sp|O14556|G3PT_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	1.2454746	1060.6874	1368.1844	NaN	NaN	NaN	2609.0479	2097.2776	1565.3054	6630.7285	1587.4348	4375.1465	1375.4197	1333.5857	1439.1653
sp|O14579|COPE_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2279.713	2549.3374	2334.3096	2889.2014	3432.341	4401.3022	NaN	NaN	NaN	NaN	NaN	NaN
sp|O14737|PDCD5_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	1575.434	2388.2212	2991.463	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O14745|NHRF1_HUMAN	48082.36	46343.85	39220.227	40518.406	42493.08	47123.117	24401.436	54210.676	50098.906	50338.92	39291.906	35485.14	35635.363	40001.355	43417.227	6250.7856	17291.152	5443.394	20166.434	21444.17	28989.906
sp|O14773|TPP1_HUMAN	11780.555	11752.713	8936.158	5003.2124	5039.375	5448.9233	11263.032	11485.166	12974.28	15389.423	10249.747	8257.998	18826.83	18505.053	17118.309	19249.754	8838.095	20159.559	19094.875	16911.871	22543.938
sp|O14818|PSA7_HUMAN	20565.09	22614.977	13662.287	10269.821	13729.255	18690.766	7360.6094	11250.066	8433.371	11492.9375	10393.281	7479.1064	15110.38	17219.008	17321.11	9281.043	13824.146	6385.46	14252.699	11427.582	11878.74
sp|O14832|PAHX_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	2811.257	0.1326178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3017.6758	1923.1138	2844.4802	3550.4932	3084.029	3072.534
