Row Names	20180205_04_S171849_1186	20180205_23_S171850_1187	20180205_25_S171851_1188	20180205_07_S171854_1191	20180205_08_S171853_1190	20180205_32_S171852_1189	20180205_03_S171856_1193	20180205_39_S171857_1194	20180205_49_S171855_1192	20180205_43_S171859_1196	20180205_45_S171858_1195	20180205_53_S171860_1197	20180205_28_S171862_1199	20180205_29_S171861_1198	20180205_37_S171863_1200	20180205_09_S171864_1201	20180205_13_S171865_1202	20180205_15_S171866_1203	20180205_16_S171868_1205	20180205_55_S171869_1206	20180205_57_S171867_1204	20180205_41_S171872_1209	20180205_48_S171870_1207	20180205_56_S171871_1208	20180205_12_S171875_1212	20180205_20_S171873_1210	20180205_35_S171874_1211	20180205_05_S171878_1215	20180205_27_S171876_1213	20180205_47_S171877_1214	20180205_17_S171881_1218	20180205_24_S171880_1217	20180205_36_S171879_1216	20180205_11_S171884_1221	20180205_21_S171883_1220	20180205_52_S171882_1219	20180205_19_S171885_1222	20180205_40_S171887_1224	20180205_44_S171886_1223	20180205_31_S171889_1226	20180205_33_S171888_1225	20180205_51_S171890_1227
sp|A0A087WXS9|TBC3I_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.19655	12.343246	11.836821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A0AV96|RBM47_HUMAN	NaN	NaN	NaN	9.537817	9.352509	9.164003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.600553	8.5305	7.913968	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A0MZ66|SHOT1_HUMAN	10.385192	10.1755085	9.754192	NaN	NaN	NaN	NaN	9.624665	10.424423	11.064645	10.835423	11.030503	11.973046	11.342033	11.571706	11.656451	11.828431	11.055137	11.545678	11.674126	11.357638	10.848353	10.686095	10.714814	NaN	10.9279	10.817503	NaN	NaN	NaN	10.570478	10.529613	10.373783	NaN	NaN	NaN	10.582353	10.551169	10.763714	11.257763	11.316201	10.661116
sp|A2VDF0|FUCM_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.049523	5.940039	8.655278	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A3KMH1|VWA8_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.030321	3.6810522	8.57427	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NDB9|PALM3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.82243	7.749813	8.265063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NGU5|GGT3_HUMAN : sp|P19440|GGT1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.496472	9.735392	8.676699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NGU5|GGT3_HUMAN : sp|P19440|GGT1_HUMAN : sp|P36268|GGT2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.200028	12.018329	12.36343
sp|A6NHG4|DDTL_HUMAN : sp|P30046|DOPD_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	12.450188	14.870836	14.491146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NIZ1|RP1BL_HUMAN : sp|P61224|RAP1B_HUMAN : sp|P62834|RAP1A_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.468493	10.388923	10.742952	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.488449	10.576565	12.15629	NaN	NaN	NaN
sp|A8K2U0|A2ML1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.0740685	4.915077	12.397279	NaN	NaN	NaN	NaN	NaN	NaN
sp|B5MCY1|TDR15_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.516308	13.745161	13.894492	13.824111	13.841154	13.626784	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|B5ME19|EIFCL_HUMAN : sp|Q99613|EIF3C_HUMAN	11.1579895	12.545239	12.377598	10.0804205	9.975076	11.838423	11.122363	11.82338	12.77413	12.582254	11.951505	12.306984	NaN	NaN	NaN	NaN	NaN	NaN	10.037663	11.325944	10.071627	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.626386	11.777939	12.339606	8.932592	11.777157	11.546959	11.183557	10.720803	11.08443	NaN	NaN	NaN
sp|B9A064|IGLL5_HUMAN : sp|P0CF74|LAC6_HUMAN : sp|P0CG04|LAC1_HUMAN : sp|P0CG05|LAC2_HUMAN : sp|P0CG06|LAC3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.260578	3.7153277	14.643556	NaN	NaN	NaN	NaN	NaN	NaN
sp|E9PAV3|NACAM_HUMAN : sp|Q13765|NACA_HUMAN	13.483301	14.139744	14.237906	13.450621	13.428608	12.485249	13.824832	14.041115	13.738006	NaN	NaN	NaN	12.290057	12.304545	12.360673	12.785379	13.025262	12.509212	10.308214	10.958416	10.460777	NaN	NaN	NaN	11.624321	14.092518	14.261813	13.550197	14.919016	15.117477	14.448663	14.475051	15.07895	13.107818	11.98026	12.751669	13.0026245	12.259178	13.387518	14.564124	14.101333	14.1156025
sp|O00116|ADAS_HUMAN	9.309345	6.2057405	6.1201625	11.21471	11.048419	10.4939375	NaN	NaN	NaN	NaN	NaN	NaN	11.608621	9.893845	11.176787	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.746602	10.803902	NaN	NaN	NaN	NaN	NaN	NaN	7.623172	9.160822	8.905433	8.73267	7.6634507	7.984598	NaN	NaN	NaN
sp|O00148|DX39A_HUMAN : sp|Q13838|DX39B_HUMAN	13.226357	10.871425	10.614907	NaN	NaN	NaN	8.874828	12.429186	12.868686	NaN	NaN	NaN	NaN	NaN	NaN	11.327474	11.440685	10.966867	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.998418	11.270174	11.222427
sp|O00151|PDLI1_HUMAN	12.417941	14.681418	14.7074375	14.360148	14.279977	14.0617695	13.513948	13.347682	12.909405	14.688617	13.827945	14.572808	13.328465	13.460489	13.364606	13.567231	14.024094	13.222547	13.954334	14.694517	14.16839	14.433673	14.538074	14.545486	13.928596	14.205118	14.640794	14.237363	14.726249	15.495884	13.632135	13.807534	14.064533	12.716048	13.430875	12.451374	12.967708	13.30887	13.48894	14.288276	13.662344	13.856373
sp|O00154|BACH_HUMAN	10.562224	10.4449415	10.346025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00159|MYO1C_HUMAN	4.399809	10.907695	10.283305	9.685013	9.745536	8.690316	2.0553503	9.486432	10.2253895	9.973983	10.025912	9.626478	10.646178	9.776929	9.997313	NaN	NaN	NaN	NaN	NaN	NaN	4.714781	9.664286	6.4230094	11.321556	12.211163	11.703997	NaN	NaN	NaN	8.973012	9.451254	10.993633	11.217398	11.731062	11.478884	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00170|AIP_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.637497	10.512607	10.213097	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00204|ST2B1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.362991	5.5158963	11.874643	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00217|NDUS8_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	11.08129	9.977732	10.392241	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00231|PSD11_HUMAN	10.51308	12.695909	12.454837	12.513363	12.71684	12.537408	10.481975	11.97654	12.445387	12.972572	12.32095	12.666014	12.551805	12.77226	12.991092	11.343261	11.723143	11.12047	10.971125	11.885734	10.993349	11.715975	11.544971	11.901069	9.705252	12.05834	12.210785	12.3954115	12.648521	12.945741	11.983373	12.140801	12.713865	12.451409	12.654563	13.092106	11.469275	11.060271	11.805325	11.816531	11.595953	11.16065
sp|O00232|PSD12_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	8.971287	10.08742	10.65251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.221998	11.081546	11.880334	9.215709	10.130826	10.367802	NaN	NaN	NaN	10.62921	9.214612	8.741382	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00233|PSMD9_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	9.553587	11.822999	11.479536	10.491479	9.395835	9.330229	11.116341	10.970059	11.14803	9.06612	8.538558	9.176847	11.290614	11.355681	10.598728	NaN	NaN	NaN	8.021686	10.298036	11.12827	2.736522	10.736255	10.758898	10.418601	10.809373	11.156825	8.544681	9.410774	9.351741	8.191214	7.3306694	8.1944895	11.095501	10.731544	10.910811
sp|O00264|PGRC1_HUMAN	13.003212	14.1049595	13.696971	13.516242	13.868244	14.112474	11.945265	13.576204	12.705357	14.443529	13.974819	14.221584	12.954737	12.7415085	12.7681875	13.133878	13.350871	12.996681	13.167559	13.802363	13.118982	13.15793	11.782654	13.039118	13.353222	12.838292	12.907612	13.050963	13.833605	13.893094	12.08676	11.723987	12.082583	12.050655	11.768489	10.890836	12.920614	12.789219	13.4794035	13.529967	13.638687	13.3997555
sp|O00273|DFFA_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.680493	7.777576	9.32078	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00299|CLIC1_HUMAN	13.822799	15.873421	15.539383	15.418734	15.616198	15.106954	14.873738	16.118816	16.286509	16.29417	15.506499	16.06791	14.7475815	14.765576	14.764218	15.274783	15.607886	14.982408	15.110497	15.761035	15.204954	15.627758	15.541011	15.294805	14.955875	16.11631	16.103302	14.960392	15.68128	15.9390135	15.362691	14.608961	14.747105	15.328983	15.645508	15.863611	15.190074	14.8503065	15.2868395	15.668728	15.435019	15.15198
sp|O00303|EIF3F_HUMAN	11.308898	11.961493	11.517321	12.793254	12.539868	9.312676	11.076681	12.893355	13.136585	13.244881	12.602727	12.625773	12.852335	12.869995	12.979211	11.162362	11.475309	10.88468	NaN	NaN	NaN	11.441162	11.286571	10.760736	11.142335	11.075272	11.109051	11.455666	12.540311	13.285753	12.643901	12.56591	12.606869	11.63832	12.815847	12.768443	NaN	NaN	NaN	11.207784	10.786061	10.719759
sp|O00330|ODPX_HUMAN	NaN	NaN	NaN	8.97516	9.928645	11.150887	4.575359	11.8491535	11.737213	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.080472	11.061063	10.581193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.3766375	11.171477	11.649598	NaN	NaN	NaN	10.441362	10.565261	10.546172	11.399471	11.218361	11.003942
sp|O00429|DNM1L_HUMAN	8.249692	9.603683	9.872625	9.443175	9.133123	9.939455	NaN	NaN	NaN	10.722998	8.682401	10.20178	9.737521	10.242408	10.514745	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.514453	9.354499	10.440505	7.4802985	7.8717685	9.337967	NaN	NaN	NaN	NaN	NaN	NaN	9.66268	9.203342	8.976931
sp|O00469|PLOD2_HUMAN	9.975854	14.047026	14.049049	14.531483	14.577485	13.9663	12.482926	13.656434	13.888326	14.881283	14.443985	14.841974	13.422283	13.29515	13.667983	12.52061	13.155866	12.403277	NaN	NaN	NaN	9.687167	11.28377	10.335733	6.730896	13.506872	13.936533	12.397627	14.302205	14.614245	12.715425	13.44314	14.086366	13.545347	13.965351	14.1920595	8.612835	6.613262	9.737726	NaN	NaN	NaN
sp|O00487|PSDE_HUMAN	11.799018	12.273183	12.0401125	12.017693	11.650166	12.475974	6.1496215	12.422412	12.432722	13.165193	12.59156	12.792271	12.28836	12.316327	12.669753	NaN	NaN	NaN	11.496895	12.332195	11.668186	12.243547	12.27989	11.975537	NaN	10.467795	9.884352	11.614285	13.114579	13.687831	11.686477	11.875014	12.603843	NaN	NaN	NaN	NaN	NaN	NaN	12.176584	12.019334	12.069563
sp|O00499|BIN1_HUMAN	NaN	NaN	NaN	9.761964	9.31561	12.93709	NaN	NaN	NaN	NaN	NaN	NaN	10.907854	10.462052	11.49492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00505|IMA4_HUMAN	9.372163	10.417729	10.316841	10.625363	10.236038	9.563561	NaN	NaN	NaN	11.331228	10.959381	11.019492	10.598861	10.806591	11.2794895	NaN	NaN	NaN	NaN	NaN	NaN	9.71543	7.3356557	9.100997	11.011601	11.897001	11.6521	10.014431	10.712282	10.774631	10.043863	9.904643	10.872394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00515|LAD1_HUMAN	11.641828	12.080322	11.889585	11.980501	12.3144655	12.348871	12.402061	13.282093	13.234753	12.526712	11.130699	13.007098	11.353706	11.258942	11.247217	10.93108	11.279194	11.181628	NaN	NaN	NaN	11.210193	10.834261	11.305415	6.6133075	12.239767	12.089799	9.615028	11.919407	11.581345	12.150233	12.366353	11.892228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00560|SDCB1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.969546	8.93271	9.626784	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00567|NOP56_HUMAN	7.853372	11.61531	11.067906	12.642335	11.655658	11.499175	12.697636	11.978238	13.148859	13.533447	12.81179	13.264447	NaN	NaN	NaN	NaN	NaN	NaN	7.29453	12.061824	12.064437	NaN	NaN	NaN	12.372984	8.704874	8.811749	NaN	NaN	NaN	NaN	NaN	NaN	7.5345044	13.371416	11.605703	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00571|DDX3X_HUMAN	11.074428	12.445944	12.340173	11.38892	11.360043	11.699855	10.993054	12.19207	12.891341	12.552776	12.406905	12.276031	NaN	NaN	NaN	10.996357	11.199632	10.717771	10.985617	10.470978	10.293016	11.3476305	11.300637	10.963394	11.818295	12.851316	12.88113	11.702294	12.646228	12.984741	12.123297	12.139468	12.654787	NaN	NaN	NaN	11.860639	11.5541725	12.219941	11.958009	11.951733	11.840834
sp|O00571|DDX3X_HUMAN : sp|O15523|DDX3Y_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.233678	11.288697	11.63468	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.646149	12.053996	12.9714985	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00625|PIR_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.058606	8.0121975	11.529966	NaN	NaN	NaN
sp|O00743|PPP6_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.751474	7.1122756	7.6351304	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00748|EST2_HUMAN	12.896303	14.009474	13.788375	13.627651	14.243416	14.382739	11.662718	14.468629	14.742569	14.91249	14.763823	14.756003	14.525394	14.708581	14.811889	14.716087	14.997892	14.037085	14.662927	15.788006	14.910269	15.264079	14.714844	15.031383	13.751353	12.960269	13.081474	12.707447	14.24843	14.653495	12.928457	13.329457	13.423868	14.058559	14.687004	14.424426	14.398613	14.426401	14.826726	14.855717	14.991848	14.717017
sp|O00754|MA2B1_HUMAN	NaN	NaN	NaN	6.3586864	6.719197	7.5353374	NaN	NaN	NaN	10.912105	10.35325	10.533174	11.398159	11.510586	11.673355	11.393042	11.599675	11.052761	11.445438	12.412242	12.123115	12.064952	11.134675	11.409489	NaN	NaN	NaN	9.7876215	10.049737	10.008339	NaN	NaN	NaN	10.403759	11.318239	11.103203	10.492063	9.025086	11.215455	10.037519	9.720445	9.615349
sp|O00757|F16P2_HUMAN	13.195154	10.049423	10.245567	13.350247	13.825985	13.596628	13.061959	13.674184	13.551799	NaN	NaN	NaN	NaN	NaN	NaN	13.92209	14.03191	13.439869	NaN	NaN	NaN	14.779049	14.033498	14.662343	12.758565	5.0666327	6.3586164	8.091556	13.587413	14.085574	NaN	NaN	NaN	13.880112	14.450791	13.9461775	13.829822	13.844865	14.105338	NaN	NaN	NaN
sp|O00764|PDXK_HUMAN	NaN	NaN	NaN	11.484471	11.020093	3.5969021	NaN	NaN	NaN	10.4017105	10.206815	10.372823	11.958672	11.889226	12.4249935	NaN	NaN	NaN	12.218239	13.089023	12.447123	11.866191	11.212079	11.182552	NaN	NaN	NaN	NaN	NaN	NaN	9.063128	8.302529	10.135818	NaN	10.077896	9.604906	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00767|ACOD_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.284047	10.668789	10.853225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
