Row Names	20180205_07_S171854_1191	20180205_08_S171853_1190	20180205_32_S171852_1189	20180205_03_S171856_1193	20180205_39_S171857_1194	20180205_49_S171855_1192	20180205_43_S171859_1196	20180205_45_S171858_1195	20180205_53_S171860_1197	20180205_28_S171862_1199	20180205_29_S171861_1198	20180205_37_S171863_1200	20180205_09_S171864_1201	20180205_13_S171865_1202	20180205_15_S171866_1203	20180205_16_S171868_1205	20180205_55_S171869_1206	20180205_57_S171867_1204	20180205_41_S171872_1209	20180205_48_S171870_1207	20180205_56_S171871_1208	20180205_12_S171875_1212	20180205_20_S171873_1210	20180205_35_S171874_1211	20180205_05_S171878_1215	20180205_27_S171876_1213	20180205_47_S171877_1214	20180205_17_S171881_1218	20180205_24_S171880_1217	20180205_36_S171879_1216	20180205_11_S171884_1221	20180205_21_S171883_1220	20180205_52_S171882_1219	20180205_19_S171885_1222	20180205_40_S171887_1224	20180205_44_S171886_1223	20180205_31_S171889_1226	20180205_33_S171888_1225	20180205_51_S171890_1227
sp|A0A087WXS9|TBC3I_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.321077	12.272379	12.250392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A0AV96|RBM47_HUMAN	9.779902	9.5046835	9.2597885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.72508	8.459633	8.327539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A0MZ66|SHOT1_HUMAN	NaN	NaN	NaN	NaN	9.2703	9.915661	10.175681	10.476687	10.419454	11.644447	11.196345	11.1504345	11.780978	11.757564	11.468708	11.919276	11.204624	11.460875	10.541835	10.525929	10.657315	NaN	10.897504	10.72205	NaN	NaN	NaN	10.90176	10.564011	9.953768	NaN	NaN	NaN	10.798561	10.970298	10.615793	10.735152	11.179207	10.715192
sp|A2VDF0|FUCM_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.743005	5.7798734	8.597779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A3KMH1|VWA8_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.361603	3.7154503	8.154255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NDB9|PALM3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.946957	7.6789455	8.678635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NGU5|GGT3_HUMAN : sp|P19440|GGT1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.620999	9.664524	9.09027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NGU5|GGT3_HUMAN : sp|P19440|GGT1_HUMAN : sp|P36268|GGT2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.677418	11.881334	12.417506
sp|A6NHG4|DDTL_HUMAN : sp|P30046|DOPD_HUMAN	NaN	NaN	NaN	13.1239	14.516471	13.982384	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NIZ1|RP1BL_HUMAN : sp|P61224|RAP1B_HUMAN : sp|P62834|RAP1A_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.161975	10.228757	10.685453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.704658	10.995693	12.008369	NaN	NaN	NaN
sp|A8K2U0|A2ML1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.864616	4.695756	12.123076	NaN	NaN	NaN	NaN	NaN	NaN
sp|B5MCY1|TDR15_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.4426775	13.653476	13.422091	14.155393	13.875552	13.206769	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|B5ME19|EIFCL_HUMAN : sp|Q99613|EIF3C_HUMAN	10.322506	10.127251	11.934208	11.796076	11.469015	12.2653675	11.693291	11.592769	11.695934	NaN	NaN	NaN	NaN	NaN	NaN	10.411262	10.856442	10.174863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.957667	11.812337	11.919591	9.72314	11.557836	11.272757	11.399765	11.139932	10.936509	NaN	NaN	NaN
sp|B9A064|IGLL5_HUMAN : sp|P0CF74|LAC6_HUMAN : sp|P0CG04|LAC1_HUMAN : sp|P0CG05|LAC2_HUMAN : sp|P0CG06|LAC3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.0511255	3.496006	14.369353	NaN	NaN	NaN	NaN	NaN	NaN
sp|E9PAV3|NACAM_HUMAN : sp|Q13765|NACA_HUMAN	13.692706	13.580783	12.581034	14.498545	13.686749	13.229243	NaN	NaN	NaN	11.961458	12.158857	11.939402	12.909906	12.954394	12.922783	10.681812	10.4889145	10.5640135	NaN	NaN	NaN	12.529424	14.062121	14.16636	14.476566	14.827331	14.645076	14.779944	14.509449	14.658935	13.898365	11.760939	12.477467	13.218833	12.678307	13.239597	14.041513	13.964338	14.169679
sp|O00116|ADAS_HUMAN	11.456796	11.200594	10.589723	NaN	NaN	NaN	NaN	NaN	NaN	11.280022	9.748157	10.755516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.716206	10.708448	NaN	NaN	NaN	NaN	NaN	NaN	8.413719	8.941501	8.63123	8.948878	8.082579	7.8366776	NaN	NaN	NaN
sp|O00148|DX39A_HUMAN : sp|Q13838|DX39B_HUMAN	NaN	NaN	NaN	9.548541	12.0748205	12.359923	NaN	NaN	NaN	NaN	NaN	NaN	11.452001	11.369818	11.380439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.475807	11.13318	11.276504
