p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
8.06419621351e-08	4.87883870918e-06	Adefovir Dipivoxil Metabolism Pathway	SMPDB	SMP00629	P22392; P00568	203; 4831; 654364	5	5
8.06419621351e-08	4.87883870918e-06	Tenofovir Metabolism Pathway	SMPDB	SMP00630	P22392; P00568	203; 4831; 654364	5	5
1.39285440945e-05	0.000561784611813	Di-unsaturated fatty acid beta-oxidation	EHMN	Di-unsaturated fatty acid beta-oxidation	P30084; P51659; O75521	10455; 3295; 1892	23	23
2.55865438037e-05	0.000773992950063	Omega-6 fatty acid metabolism	EHMN	Omega-6 fatty acid metabolism	P30084; P51659; O75521	10455; 3295; 1892	28	28
3.85242521409e-05	0.00093228690181	Interconversion of nucleotide di- and triphosphates	Reactome	R-HSA-499943	P22392; P00568	4831; 654364; 203	32	32
4.73110040051e-05	0.000954105247437	Metabolism	Reactome	R-HSA-1430728	P13929; P22392; P30084; P02652; P51659; O75521; P07602; P06733; P23526; P00568; P30043; P52895	4831; 10455; 2023; 5660; 191; 1892; 203; 2027; 3295; 654364; 336; 1646; 645	1954	1942
0.000142348850937	0.00150065133798	Platelet degranulation 	Reactome	R-HSA-114608	P62937; P68366; P37802; P07602	5478; 7277; 8407; 5660	131	130
0.000149400721946	0.00150065133798	Chylomicron assembly	Reactome	R-HSA-8963888	P07237; P02652	336; 5034	9	9
0.000164657359484	0.00150065133798	Response to elevated platelet cytosolic Ca2+	Reactome	R-HSA-76005	P62937; P68366; P37802; P07602	5478; 7277; 8407; 5660	136	135
0.000227664236395	0.00150065133798	3-oxo-10R-octadecatrienoate beta-oxidation	EHMN	3-oxo-10R-octadecatrienoate beta-oxidation	P30084; P51659	1892; 3295	11	11
0.000227664236395	0.00150065133798	GLUT-1 deficiency syndrome	SMPDB	SMP00580	P22392	4831; 654364	11	11
0.000227664236395	0.00150065133798	Congenital disorder of glycosylation CDG-IId	SMPDB	SMP00579	P22392	4831; 654364	11	11
0.000227664236395	0.00150065133798	Lactose Synthesis	SMPDB	SMP00444	P22392	4831; 654364	11	11
0.000227664236395	0.00150065133798	CMP phosphorylation	HumanCyc	PWY-7205	P22392	4831; 654364	11	11
0.000243199069506	0.00150065133798	superpathway of purine nucleotide salvage	HumanCyc	PWY66-409	P22392; P00568	4831; 654364; 203	59	59
0.000243199069506	0.00150065133798	purine nucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-841	P22392; P00568	4831; 654364; 203	59	59
0.000272845697814	0.00150065133798	Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	EHMN	Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	P30084; P51659	1892; 3295	12	12
0.000272845697814	0.00150065133798	Trihydroxycoprostanoyl-CoA beta-oxidation	EHMN	Trihydroxycoprostanoyl-CoA beta-oxidation	P30084; P51659	1892; 3295	12	12
0.000272845697814	0.00150065133798	pyrimidine deoxyribonucleotide phosphorylation	HumanCyc	PWY-7197	P22392	4831; 654364	12	12
0.000272845697814	0.00150065133798	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7226	P22392	4831; 654364	12	12
0.000272845697814	0.00150065133798	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7227	P22392	4831; 654364	12	12
0.000272845697814	0.00150065133798	Beta-oxidation of very long chain fatty acids	Reactome	R-HSA-390247	P51659; O75521	10455; 3295	12	12
0.000322039309585	0.00155867025839	purine deoxyribonucleosides salvage	HumanCyc	PWY-7224	P22392	4831; 654364	13	13
0.000322039309585	0.00155867025839	UTP and CTP <i>de novo</i> biosynthesis	HumanCyc	PWY-7176	P22392	4831; 654364	13	13
0.000322039309585	0.00155867025839	guanosine ribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY-7221	P22392	654364; 4831	13	13
0.000432400290386	0.00201232442833	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	HumanCyc	PWY0-162	P22392	4831; 654364	15	15
