SYMBOL	UNIPROT	inProtein
RPS17	P08708	TRUE
BDH1	Q02338	TRUE
B2M	P61769	TRUE
MIF	P14174	TRUE
CES1	P23141	TRUE
YWHAE	P62258	TRUE
BAAT	Q14032	TRUE
TUBB	P07437	TRUE
RPS25	P62851	TRUE
HYOU1	Q9Y4L1	TRUE
RPL7A	P62424	TRUE
PSMC4	P43686	TRUE
CRYL1	Q9Y2S2	TRUE
ACAA2	P42765	TRUE
NDUFS1	P28331	TRUE
LGALS4	P56470	TRUE
HNRNPL	P14866	TRUE
APMAP	Q9HDC9	TRUE
ACSS2	Q9NR19	TRUE
ATP5PO	P48047	TRUE
RPL3	P39023	TRUE
TST	Q16762	TRUE
SLC25A6	P12236	TRUE
YWHAB	P31946	TRUE
TTC38	Q5R3I4	TRUE
NDUFS3	O75489	TRUE
TGM2	P21980	TRUE
CSTB	P04080	TRUE
OTC	P00480	TRUE
AHCY	P23526	TRUE
LDHA	P00338	TRUE
ECHDC3	Q96DC8	TRUE
ATP5F1C	P36542	TRUE
LGALS1	P09382	TRUE
PSME2	Q9UL46	TRUE
TPT1	P13693	TRUE
AKR1C4	P17516	TRUE
YWHAH	Q04917	TRUE
DHRS7	Q9Y394	TRUE
UPB1	Q9UBR1	TRUE
RPS4X	P62701	TRUE
GGT1	P19440	TRUE
SRSF6	Q13247	TRUE
DPYSL2	Q16555	TRUE
RPL21	P46778	TRUE
ERO1A	Q96HE7	TRUE
SLC25A18	Q9H1K4	TRUE
ATP6V1B2	P21281	TRUE
CMBL	Q96DG6	TRUE
LSS	P48449	TRUE
MMUT	P22033	TRUE
RPN2	P04844	TRUE
ANXA11	P50995	TRUE
FKBP4	Q02790	TRUE
TPD52L2	O43399	TRUE
SOD1	P00441	TRUE
XRCC6	P12956	TRUE
EPHX2	P34913	TRUE
FKBP1A	P62942	TRUE
COMT	P21964	TRUE
CHMP4B	Q9H444	TRUE
COX5A	P20674	TRUE
CYB5A	P00167	TRUE
CDC37	Q16543	TRUE
HEXB	P07686	TRUE
PDLIM1	O00151	TRUE
SLC27A2	O14975	TRUE
GSTO1	P78417	TRUE
HSP90AB1	P08238	TRUE
AIFM1	O95831	TRUE
CAT	P04040	TRUE
STRAP	Q9Y3F4	TRUE
TPM4	P67936	TRUE
AK3	Q9UIJ7	TRUE
RPL17	P18621	TRUE
EIF3A	Q14152	TRUE
SSR4	P51571	TRUE
GLRX	P35754	TRUE
PGAM1	P18669	TRUE
GPD1	P21695	TRUE
MPST	P25325	TRUE
SHMT2	P34897	TRUE
MTDH	Q86UE4	TRUE
ADI1	Q9BV57	TRUE
PYGL	P06737	TRUE
DLST	P36957	TRUE
GRHPR	Q9UBQ7	TRUE
TMED10	P49755	TRUE
RPL30	P62888	TRUE
GMFB	P60983	TRUE
FTH1	P02794	TRUE
YWHAQ	P27348	TRUE
APOB	P04114	TRUE
GLYAT	Q6IB77	TRUE
HADHA	P40939	TRUE
ALDH1A1	P00352	TRUE
PRDX3	P30048	TRUE
ACADSB	P45954	TRUE
AHNAK	Q09666	TRUE
CTSA	P10619	TRUE
UCHL1	P09936	TRUE
FLNA	P21333	TRUE
SEC61B	P60468	TRUE
RPL10	P27635	TRUE
SLC25A1	P53007	TRUE
PC	P11498	TRUE
HADHB	P55084	TRUE
NONO	Q15233	TRUE
ANXA4	P09525	TRUE
NNT	Q13423	TRUE
RAD23B	P54727	TRUE
RPS12	P25398	TRUE
HMGCS1	Q01581	TRUE
INF2	Q27J81	TRUE
ACTR1A	P61163	TRUE
LMAN1	P49257	TRUE
PEPD	P12955	TRUE
GSPT1	P15170	TRUE
ANXA1	P04083	TRUE
F2	P00734	TRUE
DNAJA1	P31689	TRUE
VCL	P18206	TRUE
GPI	P06744	TRUE
BHMT	Q93088	TRUE
SULT2A1	Q06520	TRUE
GDI2	P50395	TRUE
H1-0	P07305	TRUE
STOM	P27105	TRUE
PPP2R1A	P30153	TRUE
ADH1B	P00325	TRUE
MYH9	P35579	TRUE
CTNNA1	P35221	TRUE
ARG1	P05089	TRUE
PLIN2	Q99541	TRUE
UGT2B7	P16662	TRUE
ASL	P04424	TRUE
ADH6	P28332	TRUE
CCT6A	P40227	TRUE
FABP1	P07148	TRUE
HSDL2	Q6YN16	TRUE
ST13	P50502	TRUE
GLO1	Q04760	TRUE
