source	target
DDX5	HNRNPL
AHR	PBX1
AHR	RUNX1T1
AHR	ELF1
AHR	HBP1
AHR	CREBBP
AHR	FOS
AHR	SMAD3
AHR	FOSL2
AHR	MTA3
AHR	HDAC3
AHR	POLR2A
AHR	XBP1
AHR	MAFF
AHR	NCOR2
AR	FOS
AR	EWSR1
AR	CHD3
AR	ELF1
AR	CTBP2
AR	KAT8
AR	ELL2
AR	SMAD4
AR	BRD3
AR	RXRA
AR	ZKSCAN1
AR	NCOR2
AR	SREBF1
AR	JUN
AR	RAD21
AR	POLR3A
AR	RCOR1
AR	EPAS1
AR	GLYR1
AR	RBL2
AR	CLOCK
AR	MBD3
AR	JUND
AR	HNRNPL
AR	STAT3
AR	AHR
AR	HBP1
AR	ZNF280D
AR	SMAD3
AR	GLIS3
AR	KLF9
AR	PBX3
AR	BRD2
AR	BACH2
AR	BACH1
AR	KDM5C
AR	AR
AR	OGT
AR	ELK4
AR	TBL1XR1
AR	PPARGC1A
AR	NIPBL
AR	ZNF217
AR	PBX1
AR	CREBBP
AR	CBX4
AR	ETV1
AR	CEBPA
AR	XBP1
ARNT	MAFK
ARNT	REPIN1
ARNT	KAT8
ARNT	NCOR2
ARNT	FOSL2
ARNT	MAFF
ARNT	MXI1
ARNT	MAFG
ARNT	SMAD3
ARNT	JUN
ARNT	TRIM28
ARNT	ZKSCAN1
ARNT	ZFX
ARNT	CREBBP
ARNT	GLYR1
ARNT	THAP11
ARNT	ZFHX3
ARNT	HEY1
ARNT	HIF1A
ARNT	FOS
ARNT	ETV1
ARNT	MBD2
ARNT	BCOR
ARNT	HCFC1
ARNT	ID3
ARNT	HDAC1
ARNT	PBX1
ARNT	BACH2
ARNT	HDAC2
ARNT	XBP1
ARNT	SREBF2
ARNT	NR2C2
ARNT	SMARCC1
ARNT	TBL1XR1
ARNT	ZMIZ1
ARNT	CTBP2
ARNT	MTA3
ARNT	EPAS1
ARNT	ZNF280D
ARNT	ARRB1
ARNT	PPARGC1A
ARNT	XRN2
ARNT	ZNF217
