source	RNAseq_Rif_The_DEgene	RNAseq_Rif_Tox_DEgene	RNAseq_DEgene_toProtein_Rif_The	RNAseq_DEgene_toProtein_Rif_Tox	traceback_across_TFs	existed_across_TFs	traceback_TFs_RNAseq_Rif_The_DEgene	traceback_TFs_RNAseq_Rif_Tox_DEgene	traceback_TFs_RNAseq_DEgene_toProtein_Rif_The	traceback_TFs_RNAseq_DEgene_toProtein_Rif_Tox
CREBBP	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ZFX	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ETV1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
NR1H3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	NA	NA
POU2F2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
MTA3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
MNT	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
MBD3	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
SREBF1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
FOSL2	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
SIRT6	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA
RUNX1T1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
XRN2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
RCOR1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
XBP1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
HIF1A	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
RBL2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
MAZ	TRUE	TRUE	NA	NA	TRUE	NA	TRUE	TRUE	TRUE	TRUE
KAT8	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ZKSCAN1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
GLIS3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ZMIZ1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
CAMTA2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
DDX5	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
KAT2A	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA
PPARGC1A	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
BACH2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
E2F3	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
SRF	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ATF2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
EPAS1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
HDAC1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
NR5A2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ELL2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
KLF9	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
MXI1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ELF1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
EGR1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
SOX4	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	NA	NA
KDM5C	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ELK1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
SMARCA4	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
FOXA1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
JUND	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
TRIM28	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
PPARG	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
MBD2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
CLOCK	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ARRB1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ZNF280D	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
RB1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
GLYR1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ZFHX3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	NA	NA
CBX4	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	NA	NA
SMAD4	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
BRD4	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
RXRG	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ARNT	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
OGT	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
POLR3A	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
KLF10	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
BACH1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ELK4	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
NIPBL	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
EBF1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
HEY1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
RAD21	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
FOXK1	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
