source	target	RNAseq_Rif_The_DEgene	RNAseq_Rif_Tox_DEgene	RNAseq_DEgene_toProtein_Rif_The	RNAseq_DEgene_toProtein_Rif_Tox	traceback_across_TFs	existed_across_TFs	traceback_TFs_RNAseq_Rif_The_DEgene	traceback_TFs_RNAseq_Rif_Tox_DEgene	traceback_TFs_RNAseq_DEgene_toProtein_Rif_The	traceback_TFs_RNAseq_DEgene_toProtein_Rif_Tox
DDX5	HNRNPL	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
AHR	PBX1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	RUNX1T1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	ELF1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	HBP1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	CREBBP	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	FOS	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	SMAD3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	FOSL2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	MTA3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	HDAC3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	POLR2A	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	XBP1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	MAFF	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AHR	NCOR2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	FOS	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	EWSR1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	CHD3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	ELF1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	CTBP2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	KAT8	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	ELL2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	SMAD4	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	BRD3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	RXRA	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	ZKSCAN1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
AR	NCOR2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
