source	target	RNAseq_Rif_The_DEgene	RNAseq_Rif_Tox_DEgene	RNAseq_DEgene_toProtein_Rif_The	RNAseq_DEgene_toProtein_Rif_Tox	traceback_across_TFs	existed_across_TFs	traceback_TFs_RNAseq_Rif_The_DEgene	traceback_TFs_RNAseq_Rif_Tox_DEgene	traceback_TFs_RNAseq_DEgene_toProtein_Rif_The	traceback_TFs_RNAseq_DEgene_toProtein_Rif_Tox
DDX5	HNRNPL	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
BCOR	DDX5	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
BRD2	DDX5	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
BRD4	DDX5	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
CEBPA	DDX5	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
CREBBP	DDX5	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
DDX5	SMAD3	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	MBD3	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	SIRT6	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	SMARCA4	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	BRD4	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	JUND	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	POU2F2	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	NR1H3	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	ARRB1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	NR2C2	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	SMARCC1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	TBL1XR1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	MAFK	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	FOXK1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	ZKSCAN1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	MED12	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	XBP1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	EWSR1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	HIF1A	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	FOS	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	ID3	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	HDAC1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	ARNT	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	PBX1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	ELK4	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	CREBBP	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	GLYR1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	KAT8	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	ZFHX3	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	POLR2A	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	SREBF1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	ETV4	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	ELF1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	KLF9	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	BRD3	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	ZMIZ1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	CTBP2	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	FOSL2	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
DDX5	EPAS1	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE
FOXA1	DDX5	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
HDAC1	DDX5	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
HDAC2	DDX5	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
JUN	DDX5	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
JUND	DDX5	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
MAZ	DDX5	TRUE	TRUE	NA	NA	TRUE	NA	TRUE	TRUE	TRUE	TRUE
