source	target	DEgene	DEgene_inProtein	TF
DDX5	HNRNPL	both_conditions	both_conditions	TRUE
DDX5	SMAD3	both_conditions	both_conditions	TRUE
DDX5	MBD3	both_conditions	both_conditions	TRUE
DDX5	SIRT6	both_conditions	both_conditions	TRUE
DDX5	SMARCA4	both_conditions	both_conditions	TRUE
DDX5	BRD4	both_conditions	both_conditions	TRUE
DDX5	JUND	both_conditions	both_conditions	TRUE
DDX5	POU2F2	both_conditions	both_conditions	TRUE
DDX5	NR1H3	both_conditions	both_conditions	TRUE
DDX5	ARRB1	both_conditions	both_conditions	TRUE
DDX5	NR2C2	both_conditions	both_conditions	TRUE
DDX5	SMARCC1	both_conditions	both_conditions	TRUE
DDX5	TBL1XR1	both_conditions	both_conditions	TRUE
DDX5	MAFK	both_conditions	both_conditions	TRUE
DDX5	FOXK1	both_conditions	both_conditions	TRUE
DDX5	ZKSCAN1	both_conditions	both_conditions	TRUE
DDX5	MED12	both_conditions	both_conditions	TRUE
DDX5	XBP1	both_conditions	both_conditions	TRUE
DDX5	EWSR1	both_conditions	both_conditions	TRUE
DDX5	HIF1A	both_conditions	both_conditions	TRUE
DDX5	FOS	both_conditions	both_conditions	TRUE
DDX5	ID3	both_conditions	both_conditions	TRUE
DDX5	HDAC1	both_conditions	both_conditions	TRUE
DDX5	ARNT	both_conditions	both_conditions	TRUE
DDX5	PBX1	both_conditions	both_conditions	TRUE
DDX5	ELK4	both_conditions	both_conditions	TRUE
DDX5	CREBBP	both_conditions	both_conditions	TRUE
DDX5	GLYR1	both_conditions	both_conditions	TRUE
DDX5	KAT8	both_conditions	both_conditions	TRUE
DDX5	ZFHX3	both_conditions	both_conditions	TRUE
DDX5	POLR2A	both_conditions	both_conditions	TRUE
DDX5	SREBF1	both_conditions	both_conditions	TRUE
DDX5	ETV4	both_conditions	both_conditions	TRUE
DDX5	ELF1	both_conditions	both_conditions	TRUE
DDX5	KLF9	both_conditions	both_conditions	TRUE
DDX5	BRD3	both_conditions	both_conditions	TRUE
DDX5	ZMIZ1	both_conditions	both_conditions	TRUE
DDX5	CTBP2	both_conditions	both_conditions	TRUE
DDX5	FOSL2	both_conditions	both_conditions	TRUE
DDX5	EPAS1	both_conditions	both_conditions	TRUE
BCOR	DDX5	both_conditions	NA	TRUE
BRD2	DDX5	NA	NA	TRUE
BRD4	DDX5	both_conditions	NA	TRUE
CEBPA	DDX5	both_conditions	NA	TRUE
CREBBP	DDX5	both_conditions	NA	TRUE
FOXA1	DDX5	both_conditions	NA	TRUE
HDAC1	DDX5	NA	NA	TRUE
HDAC2	DDX5	both_conditions	NA	TRUE
JUN	DDX5	NA	NA	TRUE
JUND	DDX5	both_conditions	NA	TRUE
MAZ	DDX5	both_conditions	NA	TRUE
HNRNPL	NA	both_conditions	both_conditions	TRUE
SMAD3	NA	both_conditions	NA	TRUE
MBD3	NA	NA	NA	TRUE
SIRT6	NA	NA	NA	TRUE
SMARCA4	NA	both_conditions	NA	TRUE
POU2F2	NA	both_conditions	NA	TRUE
NR1H3	NA	both_conditions	NA	TRUE
ARRB1	NA	both_conditions	NA	TRUE
NR2C2	NA	both_conditions	NA	TRUE
SMARCC1	NA	both_conditions	NA	TRUE
TBL1XR1	NA	both_conditions	NA	TRUE
MAFK	NA	both_conditions	NA	TRUE
FOXK1	NA	NA	NA	TRUE
ZKSCAN1	NA	both_conditions	NA	TRUE
MED12	NA	both_conditions	NA	TRUE
XBP1	NA	both_conditions	NA	TRUE
EWSR1	NA	both_conditions	NA	TRUE
HIF1A	NA	NA	NA	TRUE
FOS	NA	both_conditions	NA	TRUE
ID3	NA	NA	NA	TRUE
ARNT	NA	both_conditions	NA	TRUE
PBX1	NA	both_conditions	NA	TRUE
ELK4	NA	both_conditions	NA	TRUE
GLYR1	NA	both_conditions	NA	TRUE
KAT8	NA	both_conditions	NA	TRUE
ZFHX3	NA	both_conditions	NA	TRUE
POLR2A	NA	both_conditions	NA	TRUE
SREBF1	NA	both_conditions	NA	TRUE
ETV4	NA	both_conditions	NA	TRUE
ELF1	NA	NA	NA	TRUE
KLF9	NA	both_conditions	NA	TRUE
BRD3	NA	both_conditions	NA	TRUE
ZMIZ1	NA	both_conditions	NA	TRUE
CTBP2	NA	NA	NA	TRUE
FOSL2	NA	NA	NA	TRUE
EPAS1	NA	both_conditions	NA	TRUE
