source	RNAseq_Rif_The_DEgene	RNAseq_Rif_Tox_DEgene	RNAseq_DEgene_toProtein_Rif_The	RNAseq_DEgene_toProtein_Rif_Tox	traceback_across_TFs	existed_across_TFs	traceback_TFs_RNAseq_Rif_The_DEgene	traceback_TFs_RNAseq_Rif_Tox_DEgene	traceback_TFs_RNAseq_DEgene_toProtein_Rif_The	traceback_TFs_RNAseq_DEgene_toProtein_Rif_Tox
TSPAN6	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFH	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
FUCA2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GCLC	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
LAS1L	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEMA3F	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ANKIB1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP51A1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CD99	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HECW1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TMEM176A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CFLAR	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TFPI	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ARF5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SARM1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
POLDIP2	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
AK2	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
FKBP4	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ARHGAP33	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NDUFAB1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDK4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ARX	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SLC25A13	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
POLR2J	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPPL2B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
FAM214B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CREBBP	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
TSPOAP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PON1	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA
ABCB4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RHBDD2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITGA3	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ZFX	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
LAMP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GDE1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
REX1BD	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRLF1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TMEM132A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
AP2B1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TAC1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SPATA20	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CACNA1G	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFRSF12A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MAP3K9	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
BAIAP2L1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ETV1	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
GTF2IRD1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ARHGAP44	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CCDC124	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPUSD1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
LUC7L	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CACNA2D2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
BAIAP3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TSR3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PIGQ	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DNAJC11	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
FMO3	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
SYN1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
JARID2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SYPL1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CYB561	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CELSR3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MPND	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MGST1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NFIX	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ST3GAL1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
IL32	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PKD1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MAPK8IP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RHOBTB2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SEC62	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RPS20	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
CSDE1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
TENM1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAZ1B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RANBP9	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYRK4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
STARD3NL	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CD9	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
NISCH	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
IDS	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PRSS3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SCMH1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
FYN	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HIVEP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CLCN6	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MRC2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PTBP1	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
DPF1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SYT7	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
WIZ	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GABRA3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MBTPS2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ELOVL5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
EHD3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MAN2B2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC7A14	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUB1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAMLD1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ZC3H3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MDH1	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
SLC30A9	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
COX15	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NPC1L1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
STMN4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CHDH	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
CNTN1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PHLDB1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PRDM11	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SYT13	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CD74	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NCDN	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ADGRA2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD4A	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSBPL5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CPS1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
C8B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
FHL1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RTF2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SLC45A4	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALAS1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
AKAP11	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DERA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
STRAP	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ABCC2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLEKHO1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RRAGD	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HSD17B6	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NR1H3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	NA	NA
NCAPH2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TOMM34	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
VIM	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
FAS	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CD44	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGPAT4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
B4GALT7	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFRSF1B	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
POU2F2	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
SNX1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ARNTL2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANK1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CHPF2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
LRRC7	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GAB2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ATP6V0A1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MAP2K3	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEX3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GABARAPL2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
VCL	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
TIMP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RFC1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CUL3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
OTC	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
CYP46A1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SLC18A1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUBG2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAT2B	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
