TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
DDX5	FKBP4	NA	NA	NA	NA
DDX5	GAPDH	NA	NA	NA	NA
DDX5	PTMS	NA	NA	NA	NA
DDX5	USP5	NA	NA	NA	NA
DDX5	GPD1	NA	NA	NA	NA
DDX5	KRT8	NA	NA	NA	NA
DDX5	KRT18	NA	NA	NA	NA
DDX5	RAB5B	NA	NA	NA	NA
DDX5	RPS26	NA	NA	NA	NA
DDX5	MYL6	NA	NA	NA	NA
DDX5	PTGES3	NA	NA	NA	NA
DDX5	DCTN2	NA	NA	NA	NA
DDX5	GNS	NA	NA	NA	NA
DDX5	ARPC3	NA	NA	NA	NA
DDX5	RPLP0	NA	NA	NA	NA
DDX5	HIP1R	NA	NA	NA	NA
DDX5	ANXA2	NA	NA	NA	NA
DDX5	CLPX	NA	NA	NA	NA
DDX5	ETFA	NA	NA	NA	NA
DDX5	GAMT	NA	NA	NA	NA
DDX5	DAZAP1	NA	NA	NA	NA
DDX5	RPS15	NA	NA	NA	NA
DDX5	REEP6	NA	NA	NA	NA
DDX5	MAP2K2	NA	NA	NA	NA
DDX5	KHSRP	NA	NA	NA	NA
DDX5	TUBB4A	NA	NA	NA	NA
DDX5	ELAVL1	NA	NA	NA	NA
DDX5	HNRNPM	NA	NA	NA	NA
DDX5	ICAM1	NA	NA	NA	NA
DDX5	CDC37	NA	NA	NA	NA
DDX5	CALR	NA	NA	NA	NA
DDX5	DNAJB1	NA	NA	NA	NA
DDX5	TPM4	NA	NA	NA	NA
DDX5	LGALS4	NA	NA	NA	NA
DDX5	HNRNPL	NA	NA	NA	NA
DDX5	RPS16	NA	NA	NA	NA
DDX5	NUCB1	NA	NA	NA	NA
DDX5	FTL	NA	NA	NA	NA
DDX5	RPL28	NA	NA	NA	NA
DDX5	RPLP2	NA	NA	NA	NA
DDX5	NDUFS3	NA	NA	NA	NA
DDX5	FTH1	NA	NA	NA	NA
DDX5	GANAB	NA	NA	NA	NA
DDX5	STIP1	NA	NA	NA	NA
DDX5	CFL1	NA	NA	NA	NA
DDX5	PC	NA	NA	NA	NA
DDX5	CORO1B	NA	NA	NA	NA
DDX5	C11orf54	NA	NA	NA	NA
DDX5	ACAT1	NA	NA	NA	NA
DDX5	ARPC4	NA	NA	NA	NA
DDX5	RPL15	NA	NA	NA	NA
DDX5	PDCD6IP	NA	NA	NA	NA
DDX5	RPSA	NA	NA	NA	NA
DDX5	MAP4	NA	NA	NA	NA
DDX5	ABHD14B	NA	NA	NA	NA
DDX5	ACY1	NA	NA	NA	NA
DDX5	SEC61A1	NA	NA	NA	NA
DDX5	RAB7A	NA	NA	NA	NA
DDX5	EIF4G1	NA	NA	NA	NA
DDX5	PPIA	NA	NA	NA	NA
DDX5	CCT6A	NA	NA	NA	NA
