TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
AHR	DEAF1	NA	NA	NA	NA
AHR	POLD4	NA	NA	NA	NA
AHR	GSTP1	NA	NA	NA	NA
AHR	CPT1A	NA	NA	NA	NA
AHR	STARD10	NA	NA	NA	NA
AHR	C2CD3	NA	NA	NA	NA
AHR	PPME1	NA	NA	NA	NA
AHR	TSKU	NA	NA	NA	NA
AHR	TENM4	NA	NA	NA	NA
AHR	BCL9L	NA	NA	NA	NA
AHR	NBPF1	NA	NA	NA	NA
AHR	AHDC1	NA	NA	NA	NA
AHR	AK2	NA	NA	NA	NA
AHR	SMAP2	NA	NA	NA	NA
AHR	ERI3	NA	NA	NA	NA
AHR	IGSF3	NA	NA	NA	NA
AHR	RNF115	NA	NA	NA	NA
AHR	FMO5	NA	NA	NA	NA
AHR	BCL9	NA	NA	NA	NA
AHR	POGZ	NA	NA	NA	NA
AHR	S100A11	NA	NA	NA	NA
AHR	ADAR	NA	NA	NA	NA
AHR	EFNA1	NA	NA	NA	NA
AHR	PBX1	NA	NA	NA	NA
AHR	QSOX1	NA	NA	NA	NA
AHR	PIK3C2B	NA	NA	NA	NA
AHR	IRF2BP2	NA	NA	NA	NA
AHR	LGALS8	NA	NA	NA	NA
AHR	LMCD1	NA	NA	NA	NA
AHR	BTD	NA	NA	NA	NA
AHR	PSMD6	NA	NA	NA	NA
AHR	LRIG1	NA	NA	NA	NA
AHR	KALRN	NA	NA	NA	NA
AHR	ITGB5	NA	NA	NA	NA
AHR	HEG1	NA	NA	NA	NA
AHR	MGLL	NA	NA	NA	NA
AHR	ACAD11	NA	NA	NA	NA
AHR	FNDC3B	NA	NA	NA	NA
AHR	MCCC1	NA	NA	NA	NA
AHR	LPP	NA	NA	NA	NA
AHR	TNK2	NA	NA	NA	NA
AHR	FAM110B	NA	NA	NA	NA
AHR	TMEM70	NA	NA	NA	NA
AHR	GDAP1	NA	NA	NA	NA
AHR	RUNX1T1	NA	NA	NA	NA
AHR	SYBU	NA	NA	NA	NA
AHR	TRIB1	NA	NA	NA	NA
AHR	PLEC	NA	NA	NA	NA
AHR	RCAN1	NA	NA	NA	NA
AHR	TTC3	NA	NA	NA	NA
AHR	BRWD1	NA	NA	NA	NA
AHR	PDXK	NA	NA	NA	NA
AHR	COL18A1	NA	NA	NA	NA
AHR	SLC19A1	NA	NA	NA	NA
AHR	PARP4	NA	NA	NA	NA
AHR	FREM2	NA	NA	NA	NA
AHR	TSC22D1	NA	NA	NA	NA
AHR	COL4A2	NA	NA	NA	NA
AHR	MCF2L	NA	NA	NA	NA
AHR	SGMS1	NA	NA	NA	NA
AHR	ARID5B	NA	NA	NA	NA
AHR	SEC24C	NA	NA	NA	NA
AHR	HPS1	NA	NA	NA	NA
AHR	SFXN3	NA	NA	NA	NA
AHR	NEURL1	NA	NA	NA	NA
AHR	SORCS1	NA	NA	NA	NA
AHR	INPP5F	NA	NA	NA	NA
AHR	WDR11	NA	NA	NA	NA
AHR	EPB41L1	NA	NA	NA	NA
AHR	SULF2	NA	NA	NA	NA
AHR	BCAS4	NA	NA	NA	NA
AHR	ATP9A	NA	NA	NA	NA
AHR	FBXL18	NA	NA	NA	NA
AHR	ACTB	NA	NA	NA	NA
AHR	TMEM248	NA	NA	NA	NA
AHR	HSPB1	NA	NA	NA	NA
AHR	YWHAG	NA	NA	NA	NA
AHR	SYPL1	NA	NA	NA	NA
AHR	HBP1	NA	NA	NA	NA
AHR	TMEM140	NA	NA	NA	NA
AHR	DSP	NA	NA	NA	NA
AHR	NEDD9	NA	NA	NA	NA
AHR	TMEM30A	NA	NA	NA	NA
AHR	CITED2	NA	NA	NA	NA
AHR	ARID1B	NA	NA	NA	NA
AHR	PKD1	NA	NA	NA	NA
AHR	TRAF7	NA	NA	NA	NA
AHR	CREBBP	NA	NA	NA	NA
AHR	ALDOA	NA	NA	NA	NA
AHR	CDH1	NA	NA	NA	NA
AHR	TAT	NA	NA	NA	NA
AHR	USP10	NA	NA	NA	NA
AHR	KIAA0513	NA	NA	NA	NA
AHR	ANKRD11	NA	NA	NA	NA
AHR	CHD8	NA	NA	NA	NA
AHR	NYNRIN	NA	NA	NA	NA
AHR	PYGL	NA	NA	NA	NA
AHR	FOS	NA	NA	NA	NA
AHR	IRF2BPL	NA	NA	NA	NA
AHR	EVL	NA	NA	NA	NA
AHR	BMF	NA	NA	NA	NA
AHR	SPPL2A	NA	NA	NA	NA
AHR	TMOD3	NA	NA	NA	NA
AHR	ZNF609	NA	NA	NA	NA
AHR	SMAD3	NA	NA	NA	NA
AHR	PAQR5	NA	NA	NA	NA
AHR	CYP1A1	NA	NA	NA	NA
AHR	CYP1A2	NA	NA	NA	NA
AHR	PDE8A	NA	NA	NA	NA
AHR	ABHD2	NA	NA	NA	NA
AHR	IGF1R	NA	NA	NA	NA
AHR	PXDN	NA	NA	NA	NA
AHR	GREB1	NA	NA	NA	NA
AHR	SOS1	NA	NA	NA	NA
AHR	MTA3	NA	NA	NA	NA
AHR	SLC3A1	NA	NA	NA	NA
AHR	ANAPC1	NA	NA	NA	NA
AHR	HS6ST1	NA	NA	NA	NA
AHR	NR4A2	NA	NA	NA	NA
AHR	NFE2L2	NA	NA	NA	NA
AHR	NRP2	NA	NA	NA	NA
AHR	KLF7	NA	NA	NA	NA
AHR	CYP27A1	NA	NA	NA	NA
AHR	AGAP1	NA	NA	NA	NA
AHR	WIZ	NA	NA	NA	NA
AHR	TPM4	NA	NA	NA	NA
AHR	ANO8	NA	NA	NA	NA
AHR	PEPD	NA	NA	NA	NA
AHR	GRAMD1A	NA	NA	NA	NA
AHR	LGALS4	NA	NA	NA	NA
AHR	AKT2	NA	NA	NA	NA
AHR	PAFAH1B3	NA	NA	NA	NA
AHR	SLC1A5	NA	NA	NA	NA
AHR	ARHGAP35	NA	NA	NA	NA
AHR	ZNF580	NA	NA	NA	NA
AHR	AFAP1	NA	NA	NA	NA
AHR	CPEB2	NA	NA	NA	NA
AHR	KLHL5	NA	NA	NA	NA
AHR	UGDH	NA	NA	NA	NA
AHR	RBM47	NA	NA	NA	NA
AHR	TBC1D9	NA	NA	NA	NA
AHR	RNF150	NA	NA	NA	NA
AHR	AIFM1	NA	NA	NA	NA
AHR	CMBL	NA	NA	NA	NA
AHR	TRIO	NA	NA	NA	NA
AHR	MCCC2	NA	NA	NA	NA
AHR	ENC1	NA	NA	NA	NA
AHR	SSBP2	NA	NA	NA	NA
AHR	PJA2	NA	NA	NA	NA
AHR	SAR1B	NA	NA	NA	NA
AHR	TGFBI	NA	NA	NA	NA
AHR	CTNNA1	NA	NA	NA	NA
AHR	SIL1	NA	NA	NA	NA
AHR	CXXC5	NA	NA	NA	NA
AHR	GALNT10	NA	NA	NA	NA
AHR	FAXDC2	NA	NA	NA	NA
AHR	ERGIC1	NA	NA	NA	NA
AHR	AQP3	NA	NA	NA	NA
AHR	FBP1	NA	NA	NA	NA
AHR	RAD23B	NA	NA	NA	NA
AHR	HSDL2	NA	NA	NA	NA
AHR	DENND1A	NA	NA	NA	NA
AHR	ASS1	NA	NA	NA	NA
AHR	ANAPC2	NA	NA	NA	NA
AHR	ZBTB4	NA	NA	NA	NA
AHR	POLR2A	NA	NA	NA	NA
AHR	FAM222B	NA	NA	NA	NA
AHR	DHRS13	NA	NA	NA	NA
AHR	JUP	NA	NA	NA	NA
AHR	HDAC5	NA	NA	NA	NA
AHR	PNPO	NA	NA	NA	NA
AHR	NFE2L1	NA	NA	NA	NA
AHR	ABCC3	NA	NA	NA	NA
AHR	VMP1	NA	NA	NA	NA
AHR	DCAF7	NA	NA	NA	NA
AHR	CCDC47	NA	NA	NA	NA
AHR	GPRC5C	NA	NA	NA	NA
AHR	XBP1	NA	NA	NA	NA
AHR	MYH9	NA	NA	NA	NA
AHR	MAFF	NA	NA	NA	NA
AHR	HDAC7	NA	NA	NA	NA
AHR	DTX3	NA	NA	NA	NA
AHR	BTG1	NA	NA	NA	NA
AHR	CKAP4	NA	NA	NA	NA
AHR	VSIG10	NA	NA	NA	NA
AHR	PITPNM2	NA	NA	NA	NA
AHR	NCOR2	NA	NA	NA	NA
AHR	UBC	NA	NA	NA	NA
AHR	GALNT9	NA	NA	NA	NA
AR	SLC25A25	NA	NA	NA	NA
AR	AHCY	NA	NA	NA	NA
AR	BLCAP	NA	NA	NA	NA
AR	AAK1	NA	NA	NA	NA
AR	FAM110B	NA	NA	NA	NA
AR	PRKACB	NA	NA	NA	NA
AR	TPM1	NA	NA	NA	NA
AR	NT5DC1	NA	NA	NA	NA
AR	EPN1	NA	NA	NA	NA
AR	IQGAP2	NA	NA	NA	NA
AR	FLNB	NA	NA	NA	NA
AR	MASP1	NA	NA	NA	NA
AR	CES2	NA	NA	NA	NA
AR	PPFIBP2	NA	NA	NA	NA
AR	FAM107B	NA	NA	NA	NA
AR	SMARCD2	NA	NA	NA	NA
AR	MGRN1	NA	NA	NA	NA
AR	FOS	NA	NA	NA	NA
AR	MYL12A	NA	NA	NA	NA
AR	MYL12B	NA	NA	NA	NA
AR	AAGAB	NA	NA	NA	NA
AR	EWSR1	NA	NA	NA	NA
AR	ZFAND3	NA	NA	NA	NA
AR	PTP4A2	NA	NA	NA	NA
AR	CTDNEP1	NA	NA	NA	NA
AR	VAMP2	NA	NA	NA	NA
AR	RAI1	NA	NA	NA	NA
AR	BAIAP2	NA	NA	NA	NA
AR	DUS1L	NA	NA	NA	NA
AR	CCDC6	NA	NA	NA	NA
AR	PIK3AP1	NA	NA	NA	NA
AR	WBP1L	NA	NA	NA	NA
AR	CTBP1	NA	NA	NA	NA
AR	G3BP2	NA	NA	NA	NA
AR	SKI	NA	NA	NA	NA
AR	GPR153	NA	NA	NA	NA
AR	ACOT7	NA	NA	NA	NA
AR	RERE	NA	NA	NA	NA
AR	TMEM201	NA	NA	NA	NA
AR	HMGCS2	NA	NA	NA	NA
AR	EFNA1	NA	NA	NA	NA
AR	GPR161	NA	NA	NA	NA
AR	GLUL	NA	NA	NA	NA
AR	ARF1	NA	NA	NA	NA
AR	GGT1	NA	NA	NA	NA
