source	target
DDX5	FKBP4
DDX5	GAPDH
DDX5	PTMS
DDX5	USP5
DDX5	GPD1
DDX5	KRT8
DDX5	KRT18
DDX5	MYL6
DDX5	PTGES3
DDX5	DCTN2
DDX5	GNS
DDX5	TXNRD1
DDX5	ARPC3
DDX5	RPL6
DDX5	PEBP1
DDX5	RPLP0
DDX5	ANXA2
DDX5	CLPX
DDX5	ANP32A
DDX5	ETFA
DDX5	GAMT
DDX5	DAZAP1
DDX5	RPS15
DDX5	REEP6
DDX5	SGTA
DDX5	RPL36
DDX5	KHSRP
DDX5	TUBB4A
DDX5	ELAVL1
DDX5	HNRNPM
DDX5	ICAM1
DDX5	CDC37
DDX5	CALR
DDX5	DNAJB1
DDX5	TPM4
DDX5	RPL18A
DDX5	LGALS4
DDX5	HNRNPL
DDX5	RPS16
DDX5	NUCB1
DDX5	FTL
DDX5	RPL13A
DDX5	RPL28
DDX5	RPL27A
DDX5	ACP2
DDX5	NDUFS3
DDX5	CTNND1
DDX5	FTH1
DDX5	GANAB
DDX5	OTUB1
DDX5	STIP1
DDX5	PRDX5
DDX5	CFL1
DDX5	PC
DDX5	CORO1B
DDX5	CPT1A
DDX5	C11orf54
DDX5	ACAT1
DDX5	ARPC4
DDX5	RPL15
DDX5	PDCD6IP
DDX5	RPSA
DDX5	MAP4
DDX5	ABHD14B
DDX5	ACY1
DDX5	TKT
DDX5	SEC61A1
DDX5	RAB7A
DDX5	OGDH
DDX5	PPIA
DDX5	CCT6A
DDX5	ASL
DDX5	MDH2
DDX5	ARPC1B
DDX5	GNB2
DDX5	GSTK1
DDX5	ZYX
DDX5	PDIA4
DDX5	GGT1
DDX5	TOM1
DDX5	XRCC6
DDX5	DYNC1H1
DDX5	HSP90AA1
DDX5	GNB1
DDX5	H6PD
DDX5	AGMAT
DDX5	SDHB
DDX5	AKR7A3
DDX5	CAPZB
DDX5	SFN
DDX5	SFPQ
DDX5	YBX1
DDX5	RPS8
DDX5	PRDX1
DDX5	AKR1A1
DDX5	CAPZA1
DDX5	PSMB4
DDX5	FDPS
DDX5	APOA2
DDX5	ALDH9A1
DDX5	RPS2
DDX5	COTL1
DDX5	APRT
DDX5	ACSS2
DDX5	NFS1
DDX5	CTSA
DDX5	CTSZ
