TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
BRD2	CRBN	NA	NA	NA	NA
BRD2	ARL8B	NA	NA	NA	NA
BRD2	EDEM1	NA	NA	NA	NA
BRD2	LMCD1	NA	NA	NA	NA
BRD2	SRGAP3	NA	NA	NA	NA
BRD2	SETD5	NA	NA	NA	NA
BRD2	MTMR14	NA	NA	NA	NA
BRD2	TADA3	NA	NA	NA	NA
BRD2	ARPC4	NA	NA	NA	NA
BRD2	CIDEC	NA	NA	NA	NA
BRD2	IL17RC	NA	NA	NA	NA
BRD2	PRRT3	NA	NA	NA	NA
BRD2	EMC3	NA	NA	NA	NA
BRD2	VHL	NA	NA	NA	NA
BRD2	PPARG	NA	NA	NA	NA
BRD2	RAF1	NA	NA	NA	NA
BRD2	CAND2	NA	NA	NA	NA
BRD2	RPL32	NA	NA	NA	NA
BRD2	IQSEC1	NA	NA	NA	NA
BRD2	NUP210	NA	NA	NA	NA
BRD2	TMEM43	NA	NA	NA	NA
BRD2	NR2C2	NA	NA	NA	NA
BRD2	SH3BP5	NA	NA	NA	NA
BRD2	BTD	NA	NA	NA	NA
BRD2	ANKRD28	NA	NA	NA	NA
BRD2	RPL15	NA	NA	NA	NA
BRD2	THRB	NA	NA	NA	NA
BRD2	OSBPL10	NA	NA	NA	NA
BRD2	GOLGA4	NA	NA	NA	NA
BRD2	ACAA1	NA	NA	NA	NA
BRD2	MYD88	NA	NA	NA	NA
BRD2	ACVR2B	NA	NA	NA	NA
BRD2	GORASP1	NA	NA	NA	NA
BRD2	CSRNP1	NA	NA	NA	NA
BRD2	RPSA	NA	NA	NA	NA
BRD2	RPL14	NA	NA	NA	NA
BRD2	TRAK1	NA	NA	NA	NA
BRD2	ZBTB47	NA	NA	NA	NA
BRD2	CYP8B1	NA	NA	NA	NA
BRD2	TCAIM	NA	NA	NA	NA
BRD2	ZNF445	NA	NA	NA	NA
BRD2	MYL3	NA	NA	NA	NA
BRD2	KLHL18	NA	NA	NA	NA
BRD2	PTPN23	NA	NA	NA	NA
BRD2	SCAP	NA	NA	NA	NA
BRD2	SMARCC1	NA	NA	NA	NA
BRD2	DHX30	NA	NA	NA	NA
BRD2	MAP4	NA	NA	NA	NA
BRD2	CDC25A	NA	NA	NA	NA
BRD2	TMA7	NA	NA	NA	NA
BRD2	TREX1	NA	NA	NA	NA
BRD2	CELSR3	NA	NA	NA	NA
BRD2	ARIH2	NA	NA	NA	NA
BRD2	P4HTM	NA	NA	NA	NA
BRD2	WDR6	NA	NA	NA	NA
BRD2	DALRD3	NA	NA	NA	NA
BRD2	NDUFAF3	NA	NA	NA	NA
BRD2	LAMB2	NA	NA	NA	NA
BRD2	CCDC71	NA	NA	NA	NA
BRD2	KLHDC8B	NA	NA	NA	NA
BRD2	GPX1	NA	NA	NA	NA
BRD2	NICN1	NA	NA	NA	NA
BRD2	MST1	NA	NA	NA	NA
BRD2	IP6K1	NA	NA	NA	NA
BRD2	UBA7	NA	NA	NA	NA
BRD2	SLC38A3	NA	NA	NA	NA
BRD2	GNAI2	NA	NA	NA	NA
BRD2	IFRD2	NA	NA	NA	NA
BRD2	HYAL1	NA	NA	NA	NA
BRD2	TUSC2	NA	NA	NA	NA
BRD2	TMEM115	NA	NA	NA	NA
BRD2	CACNA2D2	NA	NA	NA	NA
BRD2	MAPKAPK3	NA	NA	NA	NA
BRD2	DOCK3	NA	NA	NA	NA
BRD2	RAD54L2	NA	NA	NA	NA
BRD2	PARP3	NA	NA	NA	NA
BRD2	PCBP4	NA	NA	NA	NA
BRD2	ABHD14B	NA	NA	NA	NA
BRD2	ACY1	NA	NA	NA	NA
BRD2	DUSP7	NA	NA	NA	NA
BRD2	ALAS1	NA	NA	NA	NA
BRD2	TWF2	NA	NA	NA	NA
BRD2	WDR82	NA	NA	NA	NA
BRD2	GLYCTK	NA	NA	NA	NA
BRD2	BAP1	NA	NA	NA	NA
BRD2	TNNC1	NA	NA	NA	NA
BRD2	NISCH	NA	NA	NA	NA
BRD2	ITIH4	NA	NA	NA	NA
BRD2	TKT	NA	NA	NA	NA
BRD2	CHDH	NA	NA	NA	NA
BRD2	ARHGEF3	NA	NA	NA	NA
BRD2	SLMAP	NA	NA	NA	NA
BRD2	FLNB	NA	NA	NA	NA
BRD2	ACOX2	NA	NA	NA	NA
BRD2	EOGT	NA	NA	NA	NA
BRD2	PDZRN3	NA	NA	NA	NA
BRD2	GBE1	NA	NA	NA	NA
BRD2	DCBLD2	NA	NA	NA	NA
BRD2	TFG	NA	NA	NA	NA
BRD2	RPL24	NA	NA	NA	NA
BRD2	NXPE3	NA	NA	NA	NA
BRD2	NFKBIZ	NA	NA	NA	NA
BRD2	PHLDB2	NA	NA	NA	NA
BRD2	CCDC80	NA	NA	NA	NA
BRD2	NAA50	NA	NA	NA	NA
BRD2	ZBTB20	NA	NA	NA	NA
BRD2	GAP43	NA	NA	NA	NA
BRD2	DTX3L	NA	NA	NA	NA
BRD2	PARP9	NA	NA	NA	NA
BRD2	PDIA5	NA	NA	NA	NA
BRD2	ADCY5	NA	NA	NA	NA
BRD2	MYLK	NA	NA	NA	NA
BRD2	ITGB5	NA	NA	NA	NA
BRD2	HEG1	NA	NA	NA	NA
BRD2	SLC41A3	NA	NA	NA	NA
BRD2	ALDH1L1	NA	NA	NA	NA
BRD2	ZXDC	NA	NA	NA	NA
BRD2	PLXNA1	NA	NA	NA	NA
BRD2	MGLL	NA	NA	NA	NA
BRD2	SEC61A1	NA	NA	NA	NA
BRD2	EEFSEC	NA	NA	NA	NA
BRD2	RAB7A	NA	NA	NA	NA
BRD2	CNBP	NA	NA	NA	NA
BRD2	RAB6B	NA	NA	NA	NA
BRD2	AMOTL2	NA	NA	NA	NA
BRD2	PCCB	NA	NA	NA	NA
BRD2	MRAS	NA	NA	NA	NA
BRD2	MRPS22	NA	NA	NA	NA
BRD2	ATP1B3	NA	NA	NA	NA
BRD2	XRN1	NA	NA	NA	NA
BRD2	PLS1	NA	NA	NA	NA
BRD2	PLOD2	NA	NA	NA	NA
BRD2	RNF13	NA	NA	NA	NA
BRD2	SLC33A1	NA	NA	NA	NA
BRD2	PPM1L	NA	NA	NA	NA
BRD2	GOLIM4	NA	NA	NA	NA
BRD2	SEC62	NA	NA	NA	NA
BRD2	SLC2A2	NA	NA	NA	NA
BRD2	PLD1	NA	NA	NA	NA
BRD2	FNDC3B	NA	NA	NA	NA
BRD2	TBL1XR1	NA	NA	NA	NA
BRD2	MFN1	NA	NA	NA	NA
BRD2	FXR1	NA	NA	NA	NA
BRD2	DCUN1D1	NA	NA	NA	NA
BRD2	MCCC1	NA	NA	NA	NA
BRD2	MCF2L2	NA	NA	NA	NA
BRD2	KLHL24	NA	NA	NA	NA
BRD2	DVL3	NA	NA	NA	NA
BRD2	AP2M1	NA	NA	NA	NA
BRD2	FAM131A	NA	NA	NA	NA
BRD2	EPHB3	NA	NA	NA	NA
BRD2	MAGEF1	NA	NA	NA	NA
BRD2	DNAJB11	NA	NA	NA	NA
BRD2	EIF4A2	NA	NA	NA	NA
