SYMBOL	UNIPROT	inProtein
RPS17	P08708	TRUE
BDH1	Q02338	TRUE
RPS9	P46781	TRUE
B2M	P61769	TRUE
MIF	P14174	TRUE
CES1	P23141	TRUE
YWHAE	P62258	TRUE
NEU1	Q99519	TRUE
BAAT	Q14032	TRUE
EEF1D	P29692	TRUE
TUBB	P07437	TRUE
RPS25	P62851	TRUE
HYOU1	Q9Y4L1	TRUE
RPL7A	P62424	TRUE
HMGB1	P09429	TRUE
HSPH1	Q92598	TRUE
PSMC4	P43686	TRUE
CRYL1	Q9Y2S2	TRUE
ACAA2	P42765	TRUE
NDUFS1	P28331	TRUE
ACTN4	O43707	TRUE
LMO7	Q8WWI1	TRUE
LGALS4	P56470	TRUE
HNRNPL	P14866	TRUE
APMAP	Q9HDC9	TRUE
CANX	P27824	TRUE
ACSS2	Q9NR19	TRUE
ATP5PO	P48047	TRUE
SEC23B	Q15437	TRUE
RPL3	P39023	TRUE
ZYX	Q15942	TRUE
TST	Q16762	TRUE
SLC25A6	P12236	TRUE
YWHAB	P31946	TRUE
TTC38	Q5R3I4	TRUE
CBR1	P16152	TRUE
NDUFS3	O75489	TRUE
TGM2	P21980	TRUE
PDXK	O00764	TRUE
CSTB	P04080	TRUE
OTC	P00480	TRUE
AHCY	P23526	TRUE
LDHA	P00338	TRUE
CNDP2	Q96KP4	TRUE
AKR1C3	P42330	TRUE
MAOB	P27338	TRUE
ECHDC3	Q96DC8	TRUE
ATP5F1C	P36542	TRUE
LGALS1	P09382	TRUE
PCK2	Q16822	TRUE
NUDT5	Q9UKK9	TRUE
PSME2	Q9UL46	TRUE
TPT1	P13693	TRUE
ESD	P10768	TRUE
AKR1C4	P17516	TRUE
LBP	P18428	TRUE
YWHAH	Q04917	TRUE
MTHFD1	P11586	TRUE
DHRS7	Q9Y394	TRUE
UPB1	Q9UBR1	TRUE
RPS4X	P62701	TRUE
GGT1	P19440	TRUE
DPYSL2	Q16555	TRUE
RPL21	P46778	TRUE
ERO1A	Q96HE7	TRUE
SLC25A18	Q9H1K4	TRUE
ATP6V1B2	P21281	TRUE
CMBL	Q96DG6	TRUE
LSS	P48449	TRUE
MMUT	P22033	TRUE
RPN2	P04844	TRUE
ANXA11	P50995	TRUE
ERLIN2	O94905	TRUE
FKBP4	Q02790	TRUE
TPD52L2	O43399	TRUE
A1CF	Q9NQ94	TRUE
SOD1	P00441	TRUE
XRCC6	P12956	TRUE
GDI1	P31150	TRUE
EPHX2	P34913	TRUE
FKBP1A	P62942	TRUE
COMT	P21964	TRUE
PIK3AP1	Q6ZUJ8	TRUE
CHMP4B	Q9H444	TRUE
COX5A	P20674	TRUE
CTSZ	Q9UBR2	TRUE
CYB5A	P00167	TRUE
CDC37	Q16543	TRUE
NFS1	Q9Y697	TRUE
ANP32A	P39687	TRUE
GSTA2	P09210	TRUE
CYP1A2	P05177	TRUE
PDLIM1	O00151	TRUE
SLC27A2	O14975	TRUE
GSTO1	P78417	TRUE
HSP90AB1	P08238	TRUE
AIFM1	O95831	TRUE
CAT	P04040	TRUE
STRAP	Q9Y3F4	TRUE
KTN1	Q86UP2	TRUE
TPM4	P67936	TRUE
GCLC	P48506	TRUE
AK3	Q9UIJ7	TRUE
RPL17	P18621	TRUE
EIF3A	Q14152	TRUE
SSR4	P51571	TRUE
GLRX	P35754	TRUE
PGAM1	P18669	TRUE
USP14	P54578	TRUE
HNRNPH2	P55795	TRUE
GPD1	P21695	TRUE
MPST	P25325	TRUE
QDPR	P09417	TRUE
SHMT2	P34897	TRUE
MTDH	Q86UE4	TRUE
ADI1	Q9BV57	TRUE
WDR1	O75083	TRUE
PYGL	P06737	TRUE
DLST	P36957	TRUE
DECR1	Q16698	TRUE
ACP2	P11117	TRUE
GRHPR	Q9UBQ7	TRUE
RPL30	P62888	TRUE
GMFB	P60983	TRUE
FTH1	P02794	TRUE
YWHAQ	P27348	TRUE
NIPSNAP1	Q9BPW8	TRUE
APOB	P04114	TRUE
GLYAT	Q6IB77	TRUE
HADHA	P40939	TRUE
ALDH1A1	P00352	TRUE
PRDX3	P30048	TRUE
PSAT1	Q9Y617	TRUE
DDX3X	O00571	TRUE
ACADSB	P45954	TRUE
AHNAK	Q09666	TRUE
OCIAD2	Q56VL3	TRUE
SNX3	O60493	TRUE
CTSA	P10619	TRUE
